Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00204,0x386,0.0,0.0,1.0,6.25,4.15,0.25,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.00286,0x316,0.0,0.0,1.0,6.25,4.15,0.25,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.00777,0x220,0.0,0.0,1.0,6.25,4.15,0.25,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.00933,0x2B0,0.0,0.0,1.0,6.25,4.15,0.25,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.01273,0x316,0.0,0.0,1.0,6.25,4.15,0.25,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.01773,0x220,0.0,0.0,1.0,6.25,4.14,0.35,18.34375,18.46875,17.71875,17.96875,32.1,20.0,119.0,0.0
0.01932,0x2B0,0.0,0.0,1.0,6.25,4.14,0.35,18.34375,18.46875,17.71875,17.96875,31.8,24.0,119.0,0.0
0.02204,0x386,0.0,0.0,1.0,6.25,4.14,0.35,18.5,18.6875,17.84375,18.1875,31.8,24.0,119.0,0.0
0.02272,0x316,0.0,0.0,1.0,6.25,4.14,0.35,18.5,18.6875,17.84375,18.1875,31.8,24.0,119.0,0.0
0.02777,0x220,0.0,0.0,1.0,6.25,4.13,0.42,18.5,18.6875,17.84375,18.1875,31.8,24.0,119.0,0.0
0.0293,0x2B0,0.0,0.0,1.0,6.25,4.13,0.42,18.5,18.6875,17.84375,18.1875,31.6,24.0,119.0,0.0
0.03263,0x316,0.0,0.0,1.0,6.25,4.13,0.42,18.5,18.6875,17.84375,18.1875,31.6,24.0,119.0,0.0
0.03774,0x220,0.0,0.0,1.0,6.25,4.1,0.41,18.5,18.6875,17.84375,18.1875,31.6,24.0,119.0,0.0
0.03943,0x2B0,0.0,0.0,1.0,6.25,4.1,0.41,18.5,18.6875,17.84375,18.1875,31.4,20.0,119.0,0.0
0.04204,0x386,0.0,0.0,1.0,6.25,4.1,0.41,18.625,18.75,17.96875,18.25,31.4,20.0,119.0,0.0
0.04296,0x316,0.0,0.0,1.0,6.25,4.1,0.41,18.625,18.75,17.96875,18.25,31.4,20.0,119.0,0.0
0.04778,0x220,0.0,0.0,1.0,6.25,4.07,0.32,18.625,18.75,17.96875,18.25,31.4,20.0,119.0,0.0
0.04933,0x2B0,0.0,0.0,1.0,6.25,4.07,0.32,18.625,18.75,17.96875,18.25,31.1,24.0,119.0,0.0
0.05267,0x316,0.0,0.0,1.0,6.25,4.07,0.32,18.625,18.75,17.96875,18.25,31.1,24.0,119.0,0.0
0.05773,0x220,0.0,0.0,1.0,6.25,4.03,0.27,18.625,18.75,17.96875,18.25,31.1,24.0,119.0,0.0
0.05944,0x2B0,0.0,0.0,1.0,6.25,4.03,0.27,18.625,18.75,17.96875,18.25,30.9,24.0,119.0,0.0
0.06204,0x386,0.0,0.0,1.0,6.25,4.03,0.27,18.90625,19.0,18.1875,18.375,30.9,24.0,119.0,0.0
0.0627,0x316,0.0,0.0,1.0,6.25,4.03,0.27,18.90625,19.0,18.1875,18.375,30.9,24.0,117.0,0.0
0.06778,0x220,0.0,0.0,1.0,6.25,3.96,0.31,18.90625,19.0,18.1875,18.375,30.9,24.0,117.0,0.0
0.06934,0x2B0,0.0,0.0,1.0,6.25,3.96,0.31,18.90625,19.0,18.1875,18.375,30.6,24.0,117.0,0.0
0.07265,0x316,0.0,0.0,1.0,6.25,3.96,0.31,18.90625,19.0,18.1875,18.375,30.6,24.0,117.0,0.0
0.07774,0x220,0.0,0.0,1.0,6.25,3.91,0.36,18.90625,19.0,18.1875,18.375,30.6,24.0,117.0,0.0
0.07932,0x2B0,0.0,0.0,1.0,6.25,3.91,0.36,18.90625,19.0,18.1875,18.375,30.4,24.0,117.0,0.0
0.08204,0x386,0.0,0.0,1.0,6.25,3.91,0.36,18.90625,19.0625,18.28125,18.5625,30.4,24.0,117.0,0.0
0.08267,0x316,0.0,0.0,1.0,6.25,3.91,0.36,18.90625,19.0625,18.28125,18.5625,30.4,24.0,117.0,0.0
0.08778,0x220,0.0,0.0,1.0,6.25,3.87,0.37,18.90625,19.0625,18.28125,18.5625,30.4,24.0,117.0,0.0
0.08932,0x2B0,0.0,0.0,1.0,6.25,3.87,0.37,18.90625,19.0625,18.28125,18.5625,30.1,24.0,117.0,0.0
0.09291,0x316,0.0,0.0,1.0,6.25,3.87,0.37,18.90625,19.0625,18.28125,18.5625,30.1,24.0,117.0,0.0
0.09774,0x220,0.0,0.0,1.0,6.25,3.77,0.39,18.90625,19.0625,18.28125,18.5625,30.1,24.0,117.0,0.0
0.09933,0x2B0,0.0,0.0,1.0,6.25,3.77,0.39,18.90625,19.0625,18.28125,18.5625,29.9,24.0,117.0,0.0
0.10204,0x386,0.0,0.0,1.0,6.25,3.77,0.39,19.15625,19.28125,18.375,18.625,29.9,24.0,117.0,0.0
0.103,0x316,0.0,0.0,1.0,6.25,3.77,0.39,19.15625,19.28125,18.375,18.625,29.9,24.0,117.0,0.0
0.10776,0x220,0.0,0.0,1.0,6.25,3.71,0.42,19.15625,19.28125,18.375,18.625,29.9,24.0,117.0,0.0
0.10932,0x2B0,0.0,0.0,1.0,6.25,3.71,0.42,19.15625,19.28125,18.375,18.625,29.7,20.0,117.0,0.0
0.11266,0x316,0.0,0.0,1.0,6.25,3.71,0.42,19.15625,19.28125,18.375,18.625,29.7,20.0,117.0,0.0
0.11773,0x220,0.0,0.0,1.0,6.25,3.75,0.45,19.15625,19.28125,18.375,18.625,29.7,20.0,117.0,0.0
0.11935,0x2B0,0.0,0.0,1.0,6.25,3.75,0.45,19.15625,19.28125,18.375,18.625,29.4,24.0,117.0,0.0
0.12203,0x386,0.0,0.0,1.0,6.25,3.75,0.45,19.28125,19.3125,18.4375,18.78125,29.4,24.0,117.0,0.0
0.12271,0x316,0.0,0.0,1.0,6.25,3.75,0.45,19.28125,19.3125,18.4375,18.78125,29.4,24.0,117.0,0.0
0.12776,0x220,0.0,0.0,1.0,6.25,3.82,0.43,19.28125,19.3125,18.4375,18.78125,29.4,24.0,117.0,0.0
0.12935,0x2B0,0.0,0.0,1.0,6.25,3.82,0.43,19.28125,19.3125,18.4375,18.78125,29.2,24.0,117.0,0.0
0.13265,0x316,0.0,0.0,1.0,6.25,3.82,0.43,19.28125,19.3125,18.4375,18.78125,29.2,24.0,117.0,0.0
0.13773,0x220,0.0,0.0,1.0,6.25,3.85,0.42,19.28125,19.3125,18.4375,18.78125,29.2,24.0,117.0,0.0
0.13941,0x2B0,0.0,0.0,1.0,6.25,3.85,0.42,19.28125,19.3125,18.4375,18.78125,28.9,24.0,117.0,0.0
0.14204,0x386,0.0,0.0,1.0,6.25,3.85,0.42,19.4375,19.46875,18.65625,18.84375,28.9,24.0,117.0,0.0
0.14298,0x316,0.0,0.0,1.0,6.25,3.85,0.42,19.4375,19.46875,18.65625,18.84375,28.9,24.0,117.0,0.0
0.14776,0x220,0.0,0.0,1.0,6.25,3.86,0.43,19.4375,19.46875,18.65625,18.84375,28.9,24.0,117.0,0.0
0.14932,0x2B0,0.0,0.0,1.0,6.25,3.86,0.43,19.4375,19.46875,18.65625,18.84375,28.6,28.0,117.0,0.0
0.15263,0x316,0.0,0.0,1.0,6.25,3.86,0.43,19.4375,19.46875,18.65625,18.84375,28.6,28.0,117.0,0.0
0.15773,0x220,0.0,0.0,1.0,6.25,3.86,0.43,19.4375,19.46875,18.65625,18.84375,28.6,28.0,117.0,0.0
0.15942,0x2B0,0.0,0.0,1.0,6.25,3.86,0.43,19.4375,19.46875,18.65625,18.84375,28.4,24.0,117.0,0.0
0.16205,0x386,0.0,0.0,1.0,6.25,3.86,0.43,19.46875,19.53125,18.875,18.96875,28.4,24.0,117.0,0.0
0.16268,0x316,0.0,0.0,1.0,6.25,3.86,0.43,19.46875,19.53125,18.875,18.96875,28.4,24.0,117.0,0.0
0.16777,0x220,0.0,0.0,1.0,6.25,3.81,0.41,19.46875,19.53125,18.875,18.96875,28.4,24.0,117.0,0.0
0.16933,0x2B0,0.0,0.0,1.0,6.25,3.81,0.41,19.46875,19.53125,18.875,18.96875,28.2,20.0,117.0,0.0
0.17267,0x316,0.0,0.0,1.0,6.25,3.81,0.41,19.46875,19.53125,18.875,18.96875,28.2,20.0,119.0,0.0
0.17773,0x220,0.0,0.0,1.0,6.25,3.71,0.37,19.46875,19.53125,18.875,18.96875,28.2,20.0,119.0,0.0
0.17933,0x2B0,0.0,0.0,1.0,6.25,3.71,0.37,19.46875,19.53125,18.875,18.96875,27.9,24.0,119.0,0.0
0.18205,0x386,0.0,0.0,1.0,6.25,3.71,0.37,19.65625,19.625,18.84375,19.125,27.9,24.0,119.0,0.0
0.1827,0x316,0.0,0.0,1.0,6.25,3.71,0.37,19.65625,19.625,18.84375,19.125,27.9,24.0,119.0,0.0
0.18777,0x220,0.0,0.0,1.0,6.25,3.65,0.31,19.65625,19.625,18.84375,19.125,27.9,24.0,119.0,0.0
0.18934,0x2B0,0.0,0.0,1.0,6.25,3.65,0.31,19.65625,19.625,18.84375,19.125,27.7,24.0,119.0,0.0
0.19277,0x316,0.0,0.0,1.0,6.25,3.65,0.31,19.65625,19.625,18.84375,19.125,27.7,24.0,122.0,0.0
0.19775,0x220,0.0,0.0,1.0,6.25,3.61,0.24,19.65625,19.625,18.84375,19.125,27.7,24.0,122.0,0.0
0.19931,0x2B0,0.0,0.0,1.0,6.25,3.61,0.24,19.65625,19.625,18.84375,19.125,27.5,20.0,122.0,0.0
