Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00317,0x316,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.2,40.0,109.0,0.0
0.00389,0x386,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.2,40.0,109.0,0.0
0.00498,0x2B0,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.2,40.0,109.0,0.0
0.00947,0x220,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.2,40.0,109.0,0.0
0.01316,0x316,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.2,40.0,109.0,0.0
0.01498,0x2B0,0.0,0.0,1.0,6.25,0.03,-0.17,9.5625,9.5,9.15625,9.15625,-70.7,44.0,109.0,0.0
0.01946,0x220,0.0,0.0,1.0,6.25,0.01,-0.22,9.5625,9.5,9.15625,9.15625,-70.7,44.0,109.0,0.0
0.02325,0x316,0.0,0.0,1.0,6.25,0.01,-0.22,9.5625,9.5,9.15625,9.15625,-70.7,44.0,109.0,0.0
0.02397,0x386,0.0,0.0,1.0,6.25,0.01,-0.22,9.71875,9.59375,9.34375,9.3125,-70.7,44.0,109.0,0.0
0.02494,0x2B0,0.0,0.0,1.0,6.25,0.01,-0.22,9.71875,9.59375,9.34375,9.3125,-71.2,48.0,109.0,0.0
0.02948,0x220,0.0,0.0,1.0,6.25,0.0,-0.25,9.71875,9.59375,9.34375,9.3125,-71.2,48.0,109.0,0.0
0.03321,0x316,0.0,0.0,1.0,6.25,0.0,-0.25,9.71875,9.59375,9.34375,9.3125,-71.2,48.0,109.0,0.0
0.03493,0x2B0,0.0,0.0,1.0,6.25,0.0,-0.25,9.71875,9.59375,9.34375,9.3125,-71.7,48.0,109.0,0.0
0.03948,0x220,0.0,0.0,1.0,6.25,-0.01,-0.24,9.71875,9.59375,9.34375,9.3125,-71.7,48.0,109.0,0.0
0.04317,0x316,0.0,0.0,1.0,6.25,-0.01,-0.24,9.71875,9.59375,9.34375,9.3125,-71.7,48.0,109.0,0.0
0.04376,0x386,0.0,0.0,1.0,6.25,-0.01,-0.24,9.78125,9.71875,9.4375,9.5,-71.7,48.0,109.0,0.0
0.04494,0x2B0,0.0,0.0,1.0,6.25,-0.01,-0.24,9.78125,9.71875,9.4375,9.5,-72.2,48.0,109.0,0.0
0.04949,0x220,0.0,0.0,1.0,6.25,-0.04,-0.23,9.78125,9.71875,9.4375,9.5,-72.2,48.0,109.0,0.0
0.05314,0x316,0.0,0.0,1.0,6.25,-0.04,-0.23,9.78125,9.71875,9.4375,9.5,-72.2,48.0,109.0,0.0
0.05493,0x2B0,0.0,0.0,1.0,6.25,-0.04,-0.23,9.78125,9.71875,9.4375,9.5,-72.7,48.0,109.0,0.0
0.05946,0x220,0.0,0.0,1.0,6.25,-0.08,-0.22,9.78125,9.71875,9.4375,9.5,-72.7,48.0,109.0,0.0
0.06317,0x316,0.0,0.0,1.0,6.25,-0.08,-0.22,9.78125,9.71875,9.4375,9.5,-72.7,48.0,109.0,0.0
0.06389,0x386,0.0,0.0,1.0,6.25,-0.08,-0.22,9.96875,9.875,9.625,9.53125,-72.7,48.0,109.0,0.0
0.06491,0x2B0,0.0,0.0,1.0,6.25,-0.08,-0.22,9.96875,9.875,9.625,9.53125,-73.3,52.0,109.0,0.0
0.06948,0x220,0.0,0.0,1.0,6.25,-0.13,-0.23,9.96875,9.875,9.625,9.53125,-73.3,52.0,109.0,0.0
0.07319,0x316,0.0,0.0,1.0,6.25,-0.13,-0.23,9.96875,9.875,9.625,9.53125,-73.3,52.0,109.0,0.0
0.07495,0x2B0,0.0,0.0,1.0,6.25,-0.13,-0.23,9.96875,9.875,9.625,9.53125,-73.8,52.0,109.0,0.0
0.07948,0x220,0.0,0.0,1.0,6.25,-0.14,-0.24,9.96875,9.875,9.625,9.53125,-73.8,52.0,109.0,0.0
0.08376,0x386,0.0,0.0,1.0,6.25,-0.14,-0.24,10.09375,10.03125,9.78125,9.6875,-73.8,52.0,109.0,0.0
0.08399,0x316,0.0,0.0,1.0,6.25,-0.14,-0.24,10.09375,10.03125,9.78125,9.6875,-73.8,52.0,109.0,0.0
0.08491,0x2B0,0.0,0.0,1.0,6.25,-0.14,-0.24,10.09375,10.03125,9.78125,9.6875,-74.4,52.0,109.0,0.0
0.08949,0x220,0.0,0.0,1.0,6.25,-0.15,-0.25,10.09375,10.03125,9.78125,9.6875,-74.4,52.0,109.0,0.0
0.09315,0x316,0.0,0.0,1.0,6.25,-0.15,-0.25,10.09375,10.03125,9.78125,9.6875,-74.4,52.0,109.0,0.0
0.09494,0x2B0,0.0,0.0,1.0,6.25,-0.15,-0.25,10.09375,10.03125,9.78125,9.6875,-74.9,52.0,109.0,0.0
0.09946,0x220,0.0,0.0,1.0,6.25,-0.15,-0.28,10.09375,10.03125,9.78125,9.6875,-74.9,52.0,109.0,0.0
0.10318,0x316,0.0,0.0,1.0,6.25,-0.15,-0.28,10.09375,10.03125,9.78125,9.6875,-74.9,52.0,109.0,0.0
0.10391,0x386,0.0,0.0,1.0,6.25,-0.15,-0.28,10.25,10.125,9.875,9.84375,-74.9,52.0,109.0,0.0
0.10494,0x2B0,0.0,0.0,1.0,6.25,-0.15,-0.28,10.25,10.125,9.875,9.84375,-75.5,52.0,109.0,0.0
0.10947,0x220,0.0,0.0,1.0,6.25,-0.16,-0.3,10.25,10.125,9.875,9.84375,-75.5,52.0,109.0,0.0
0.1132,0x316,0.0,0.0,1.0,6.25,-0.16,-0.3,10.25,10.125,9.875,9.84375,-75.5,52.0,109.0,0.0
0.11494,0x2B0,0.0,0.0,1.0,6.25,-0.16,-0.3,10.25,10.125,9.875,9.84375,-76.1,60.0,109.0,0.0
0.11946,0x220,0.0,0.0,1.0,6.25,-0.22,-0.29,10.25,10.125,9.875,9.84375,-76.1,60.0,109.0,0.0
0.12332,0x316,0.0,0.0,1.0,6.25,-0.22,-0.29,10.25,10.125,9.875,9.84375,-76.1,60.0,109.0,0.0
0.12379,0x386,0.0,0.0,1.0,6.25,-0.22,-0.29,10.40625,10.28125,10.0625,9.96875,-76.1,60.0,109.0,0.0
0.12495,0x2B0,0.0,0.0,1.0,6.25,-0.22,-0.29,10.40625,10.28125,10.0625,9.96875,-76.7,60.0,109.0,0.0
0.12947,0x220,0.0,0.0,1.0,6.25,-0.26,-0.28,10.40625,10.28125,10.0625,9.96875,-76.7,60.0,109.0,0.0
0.13314,0x316,0.0,0.0,1.0,6.25,-0.26,-0.28,10.40625,10.28125,10.0625,9.96875,-76.7,60.0,109.0,0.0
0.13491,0x2B0,0.0,0.0,1.0,6.25,-0.26,-0.28,10.40625,10.28125,10.0625,9.96875,-77.3,60.0,109.0,0.0
