Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00337,0x2B0,0.0,0.0,1.0,6.25,9.95,1.18,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.00635,0x220,0.0,0.0,1.0,6.25,9.95,1.18,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.00937,0x316,0.0,0.0,1.0,6.25,9.95,1.18,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.01067,0x386,0.0,0.0,1.0,6.25,9.95,1.18,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.01334,0x2B0,0.0,0.0,1.0,6.25,9.95,1.18,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.01638,0x220,0.0,0.0,1.0,6.25,10.02,1.15,21.0,21.75,20.4375,21.1875,108.7,0.0,101.0,0.0
0.01938,0x316,0.0,0.0,1.0,6.25,10.02,1.15,21.0,21.75,20.4375,21.1875,108.7,0.0,104.0,0.0
0.02333,0x2B0,0.0,0.0,1.0,6.25,10.02,1.15,21.0,21.75,20.4375,21.1875,108.7,0.0,104.0,0.0
0.02636,0x220,0.0,0.0,1.0,6.25,10.03,1.12,21.0,21.75,20.4375,21.1875,108.7,0.0,104.0,0.0
0.02937,0x316,0.0,0.0,1.0,6.25,10.03,1.12,21.0,21.75,20.4375,21.1875,108.7,0.0,104.0,0.0
0.03067,0x386,0.0,0.0,1.0,6.25,10.03,1.12,21.09375,21.90625,20.40625,21.25,108.7,0.0,104.0,0.0
0.03334,0x2B0,0.0,0.0,1.0,6.25,10.03,1.12,21.09375,21.90625,20.40625,21.25,108.8,0.0,104.0,0.0
0.03639,0x220,0.0,0.0,1.0,6.25,10.02,1.15,21.09375,21.90625,20.40625,21.25,108.8,0.0,104.0,0.0
0.03937,0x316,0.0,0.0,1.0,6.25,10.02,1.15,21.09375,21.90625,20.40625,21.25,108.8,0.0,104.0,0.0
0.04333,0x2B0,0.0,0.0,1.0,6.25,10.02,1.15,21.09375,21.90625,20.40625,21.25,108.8,0.0,104.0,0.0
0.04635,0x220,0.0,0.0,1.0,6.25,10.04,1.18,21.09375,21.90625,20.40625,21.25,108.8,0.0,104.0,0.0
0.04938,0x316,0.0,0.0,1.0,6.25,10.04,1.18,21.09375,21.90625,20.40625,21.25,108.8,0.0,107.0,0.0
0.05068,0x386,0.0,0.0,1.0,6.25,10.04,1.18,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.05332,0x2B0,0.0,0.0,1.0,6.25,10.04,1.18,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.05638,0x220,0.0,0.0,1.0,6.25,10.06,1.17,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.05938,0x316,0.0,0.0,1.0,6.25,10.06,1.17,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.06332,0x2B0,0.0,0.0,1.0,6.25,10.06,1.17,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.06636,0x220,0.0,0.0,1.0,6.25,10.06,1.16,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.06938,0x316,0.0,0.0,1.0,6.25,10.06,1.16,21.34375,22.03125,20.53125,21.375,108.8,0.0,107.0,0.0
0.07067,0x386,0.0,0.0,1.0,6.25,10.06,1.16,21.40625,22.1875,20.59375,21.4375,108.8,0.0,107.0,0.0
0.07335,0x2B0,0.0,0.0,1.0,6.25,10.06,1.16,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.07639,0x220,0.0,0.0,1.0,6.25,10.06,1.18,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.07954,0x316,0.0,0.0,1.0,6.25,10.06,1.18,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.08334,0x2B0,0.0,0.0,1.0,6.25,10.06,1.18,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.08636,0x220,0.0,0.0,1.0,6.25,10.06,1.27,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.08939,0x316,0.0,0.0,1.0,6.25,10.06,1.27,21.40625,22.1875,20.59375,21.4375,108.9,0.0,107.0,0.0
0.09067,0x386,0.0,0.0,1.0,6.25,10.06,1.27,21.53125,22.25,20.71875,21.5625,108.9,0.0,107.0,0.0
0.09334,0x2B0,0.0,0.0,1.0,6.25,10.06,1.27,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.09639,0x220,0.0,0.0,1.0,6.25,10.08,1.34,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.09945,0x316,0.0,0.0,1.0,6.25,10.08,1.34,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.10333,0x2B0,0.0,0.0,1.0,6.25,10.08,1.34,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.10636,0x220,0.0,0.0,1.0,6.25,10.15,1.31,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.10939,0x316,0.0,0.0,1.0,6.25,10.15,1.31,21.53125,22.25,20.71875,21.5625,109.0,0.0,107.0,0.0
0.11068,0x386,0.0,0.0,1.0,6.25,10.15,1.31,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.11334,0x2B0,0.0,0.0,1.0,6.25,10.15,1.31,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.11639,0x220,0.0,0.0,1.0,6.25,10.21,1.22,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.11915,0x316,0.0,0.0,1.0,6.25,10.21,1.22,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.12339,0x2B0,0.0,0.0,1.0,6.25,10.21,1.22,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.12636,0x220,0.0,0.0,1.0,6.25,10.28,1.17,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.1294,0x316,0.0,0.0,1.0,6.25,10.28,1.17,21.71875,22.3125,20.6875,21.625,109.0,0.0,107.0,0.0
0.13068,0x386,0.0,0.0,1.0,6.25,10.28,1.17,21.78125,22.34375,20.71875,21.8125,109.0,0.0,107.0,0.0
0.13338,0x2B0,0.0,0.0,1.0,6.25,10.28,1.17,21.78125,22.34375,20.71875,21.8125,109.0,0.0,107.0,0.0
0.13639,0x220,0.0,0.0,1.0,6.25,10.3,1.21,21.78125,22.34375,20.71875,21.8125,109.0,0.0,107.0,0.0
0.1394,0x316,0.0,0.0,1.0,6.25,10.3,1.21,21.78125,22.34375,20.71875,21.8125,109.0,0.0,107.0,0.0
0.14332,0x2B0,0.0,0.0,1.0,6.25,10.3,1.21,21.78125,22.34375,20.71875,21.8125,109.2,8.0,107.0,0.0
0.14636,0x220,0.0,0.0,1.0,6.25,10.24,1.31,21.78125,22.34375,20.71875,21.8125,109.2,8.0,107.0,0.0
0.1494,0x316,0.0,0.0,1.0,6.25,10.24,1.31,21.78125,22.34375,20.71875,21.8125,109.2,8.0,107.0,0.0
0.15068,0x386,0.0,0.0,1.0,6.25,10.24,1.31,21.9375,22.40625,20.875,21.90625,109.2,8.0,107.0,0.0
0.15327,0x2B0,0.0,0.0,1.0,6.25,10.24,1.31,21.9375,22.40625,20.875,21.90625,109.2,8.0,107.0,0.0
0.1564,0x220,0.0,0.0,1.0,6.25,10.19,1.32,21.9375,22.40625,20.875,21.90625,109.2,8.0,107.0,0.0
0.1594,0x316,0.0,0.0,1.0,6.25,10.19,1.32,21.9375,22.40625,20.875,21.90625,109.2,8.0,107.0,0.0
0.16331,0x2B0,0.0,0.0,1.0,6.25,10.19,1.32,21.9375,22.40625,20.875,21.90625,109.2,0.0,107.0,0.0
0.16636,0x220,0.0,0.0,1.0,6.25,10.13,1.28,21.9375,22.40625,20.875,21.90625,109.2,0.0,107.0,0.0
0.16941,0x316,0.0,0.0,1.0,6.25,10.13,1.28,21.9375,22.40625,20.875,21.90625,109.2,0.0,107.0,0.0
0.17068,0x386,0.0,0.0,1.0,6.25,10.13,1.28,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.1733,0x2B0,0.0,0.0,1.0,6.25,10.13,1.28,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.17639,0x220,0.0,0.0,1.0,6.25,10.12,1.27,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.17951,0x316,0.0,0.0,1.0,6.25,10.12,1.27,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.18331,0x2B0,0.0,0.0,1.0,6.25,10.12,1.27,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.18637,0x220,0.0,0.0,1.0,6.25,10.17,1.35,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.18942,0x316,0.0,0.0,1.0,6.25,10.17,1.35,22.03125,22.5625,21.125,21.96875,109.2,0.0,107.0,0.0
0.19068,0x386,0.0,0.0,1.0,6.25,10.17,1.35,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.1933,0x2B0,0.0,0.0,1.0,6.25,10.17,1.35,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.1964,0x220,0.0,0.0,1.0,6.25,10.24,1.42,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.19942,0x316,0.0,0.0,1.0,6.25,10.24,1.42,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.20329,0x2B0,0.0,0.0,1.0,6.25,10.24,1.42,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.20636,0x220,0.0,0.0,1.0,6.25,10.29,1.42,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.20942,0x316,0.0,0.0,1.0,6.25,10.29,1.42,22.15625,22.5,21.125,21.96875,109.2,0.0,107.0,0.0
0.21068,0x386,0.0,0.0,1.0,6.25,10.29,1.42,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.21337,0x2B0,0.0,0.0,1.0,6.25,10.29,1.42,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.21639,0x220,0.0,0.0,1.0,6.25,10.28,1.38,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.21918,0x316,0.0,0.0,1.0,6.25,10.28,1.38,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.22336,0x2B0,0.0,0.0,1.0,6.25,10.28,1.38,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.22636,0x220,0.0,0.0,1.0,6.25,10.23,1.31,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.22942,0x316,0.0,0.0,1.0,6.25,10.23,1.31,22.1875,22.75,21.25,22.0625,109.2,0.0,107.0,0.0
0.23068,0x386,0.0,0.0,1.0,6.25,10.23,1.31,22.25,22.8125,21.25,22.125,109.2,0.0,107.0,0.0
0.23336,0x2B0,0.0,0.0,1.0,6.25,10.23,1.31,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.2364,0x220,0.0,0.0,1.0,6.25,10.17,1.34,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.23917,0x316,0.0,0.0,1.0,6.25,10.17,1.34,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.24337,0x2B0,0.0,0.0,1.0,6.25,10.17,1.34,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.24636,0x220,0.0,0.0,1.0,6.25,10.12,1.39,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.24918,0x316,0.0,0.0,1.0,6.25,10.12,1.39,22.25,22.8125,21.25,22.125,109.0,8.0,107.0,0.0
0.25068,0x386,0.0,0.0,1.0,6.25,10.12,1.39,22.28125,22.875,21.65625,22.46875,109.0,8.0,107.0,0.0
0.25335,0x2B0,0.0,0.0,1.0,6.25,10.12,1.39,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.25639,0x220,0.0,0.0,1.0,6.25,10.1,1.37,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.25943,0x316,0.0,0.0,1.0,6.25,10.1,1.37,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.26336,0x2B0,0.0,0.0,1.0,6.25,10.1,1.37,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.26636,0x220,0.0,0.0,1.0,6.25,10.11,1.31,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.26943,0x316,0.0,0.0,1.0,6.25,10.11,1.31,22.28125,22.875,21.65625,22.46875,109.0,0.0,107.0,0.0
0.27068,0x386,0.0,0.0,1.0,6.25,10.11,1.31,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.27336,0x2B0,0.0,0.0,1.0,6.25,10.11,1.31,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.27639,0x220,0.0,0.0,1.0,6.25,10.07,1.35,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.27951,0x316,0.0,0.0,1.0,6.25,10.07,1.35,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.28335,0x2B0,0.0,0.0,1.0,6.25,10.07,1.35,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.28636,0x220,0.0,0.0,1.0,6.25,10.06,1.47,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.28944,0x316,0.0,0.0,1.0,6.25,10.06,1.47,22.375,23.03125,21.6875,22.5,109.0,0.0,107.0,0.0
0.29068,0x386,0.0,0.0,1.0,6.25,10.06,1.47,22.3125,23.09375,21.71875,22.625,109.0,0.0,107.0,0.0
0.29337,0x2B0,0.0,0.0,1.0,6.25,10.06,1.47,22.3125,23.09375,21.71875,22.625,108.8,8.0,107.0,0.0
0.2964,0x220,0.0,0.0,1.0,6.25,10.09,1.52,22.3125,23.09375,21.71875,22.625,108.8,8.0,107.0,0.0
0.29944,0x316,0.0,0.0,1.0,6.25,10.09,1.52,22.3125,23.09375,21.71875,22.625,108.8,8.0,107.0,0.0
0.30335,0x2B0,0.0,0.0,1.0,6.25,10.09,1.52,22.3125,23.09375,21.71875,22.625,108.6,20.0,107.0,0.0
0.30637,0x220,0.0,0.0,1.0,6.25,10.08,1.46,22.3125,23.09375,21.71875,22.625,108.6,20.0,107.0,0.0
0.30952,0x316,0.0,0.0,1.0,6.25,10.08,1.46,22.3125,23.09375,21.71875,22.625,108.6,20.0,107.0,0.0
0.31068,0x386,0.0,0.0,1.0,6.25,10.08,1.46,22.5,23.3125,21.9375,22.75,108.6,20.0,107.0,0.0
0.31334,0x2B0,0.0,0.0,1.0,6.25,10.08,1.46,22.5,23.3125,21.9375,22.75,108.4,20.0,107.0,0.0
0.3164,0x220,0.0,0.0,1.0,6.25,10.08,1.37,22.5,23.3125,21.9375,22.75,108.4,20.0,107.0,0.0
0.31916,0x316,0.0,0.0,1.0,6.25,10.08,1.37,22.5,23.3125,21.9375,22.75,108.4,20.0,107.0,0.0
0.32335,0x2B0,0.0,0.0,1.0,6.25,10.08,1.37,22.5,23.3125,21.9375,22.75,108.2,20.0,107.0,0.0
0.32637,0x220,0.0,0.0,1.0,6.25,10.12,1.37,22.5,23.3125,21.9375,22.75,108.2,20.0,107.0,0.0
0.32918,0x316,0.0,0.0,1.0,6.25,10.12,1.37,22.5,23.3125,21.9375,22.75,108.2,20.0,107.0,0.0
0.33069,0x386,0.0,0.0,1.0,6.25,10.12,1.37,22.53125,23.4375,22.0,22.78125,108.2,20.0,107.0,0.0
0.33337,0x2B0,0.0,0.0,1.0,6.25,10.12,1.37,22.53125,23.4375,22.0,22.78125,108.0,20.0,107.0,0.0
0.3364,0x220,0.0,0.0,1.0,6.25,10.21,1.43,22.53125,23.4375,22.0,22.78125,108.0,20.0,107.0,0.0
0.33918,0x316,0.0,0.0,1.0,6.25,10.21,1.43,22.53125,23.4375,22.0,22.78125,108.0,20.0,107.0,0.0
0.34335,0x2B0,0.0,0.0,1.0,6.25,10.21,1.43,22.53125,23.4375,22.0,22.78125,107.7,24.0,107.0,0.0
0.34637,0x220,0.0,0.0,1.0,6.25,10.32,1.45,22.53125,23.4375,22.0,22.78125,107.7,24.0,107.0,0.0
0.34945,0x316,0.0,0.0,1.0,6.25,10.32,1.45,22.53125,23.4375,22.0,22.78125,107.7,24.0,107.0,0.0
0.35069,0x386,0.0,0.0,1.0,6.25,10.32,1.45,22.75,23.5625,22.03125,22.875,107.7,24.0,107.0,0.0
0.35334,0x2B0,0.0,0.0,1.0,6.25,10.32,1.45,22.75,23.5625,22.03125,22.875,107.7,12.0,107.0,0.0
0.3564,0x220,0.0,0.0,1.0,6.25,10.42,1.44,22.75,23.5625,22.03125,22.875,107.7,12.0,107.0,0.0
0.35918,0x316,0.0,0.0,1.0,6.25,10.42,1.44,22.75,23.5625,22.03125,22.875,107.7,12.0,109.0,0.0
0.36335,0x2B0,0.0,0.0,1.0,6.25,10.42,1.44,22.75,23.5625,22.03125,22.875,107.4,12.0,109.0,0.0
0.36636,0x220,0.0,0.0,1.0,6.25,10.5,1.43,22.75,23.5625,22.03125,22.875,107.4,12.0,109.0,0.0
0.36919,0x316,0.0,0.0,1.0,6.25,10.5,1.43,22.75,23.5625,22.03125,22.875,107.4,12.0,109.0,0.0
0.37068,0x386,0.0,0.0,1.0,6.25,10.5,1.43,22.875,23.6875,21.9375,22.96875,107.4,12.0,109.0,0.0
0.37334,0x2B0,0.0,0.0,1.0,6.25,10.5,1.43,22.875,23.6875,21.9375,22.96875,107.2,24.0,109.0,0.0
0.37639,0x220,0.0,0.0,1.0,6.25,10.64,1.4,22.875,23.6875,21.9375,22.96875,107.2,24.0,109.0,0.0
0.37947,0x316,0.0,0.0,1.0,6.25,10.64,1.4,22.875,23.6875,21.9375,22.96875,107.2,24.0,109.0,0.0
0.38332,0x2B0,0.0,0.0,1.0,6.25,10.64,1.4,22.875,23.6875,21.9375,22.96875,107.0,20.0,109.0,0.0
0.38637,0x220,0.0,0.0,1.0,6.25,10.75,1.35,22.875,23.6875,21.9375,22.96875,107.0,20.0,109.0,0.0
0.38947,0x316,0.0,0.0,1.0,6.25,10.75,1.35,22.875,23.6875,21.9375,22.96875,107.0,20.0,109.0,0.0
0.39068,0x386,0.0,0.0,1.0,6.25,10.75,1.35,23.03125,23.6875,22.0,23.03125,107.0,20.0,109.0,0.0
0.39331,0x2B0,0.0,0.0,1.0,6.25,10.75,1.35,23.03125,23.6875,22.0,23.03125,106.8,20.0,109.0,0.0
0.39642,0x220,0.0,0.0,1.0,6.25,10.77,1.3,23.03125,23.6875,22.0,23.03125,106.8,20.0,109.0,0.0
0.39947,0x316,0.0,0.0,1.0,6.25,10.77,1.3,23.03125,23.6875,22.0,23.03125,106.8,20.0,109.0,0.0
0.40333,0x2B0,0.0,0.0,1.0,6.25,10.77,1.3,23.03125,23.6875,22.0,23.03125,106.6,20.0,109.0,0.0
0.40637,0x220,0.0,0.0,1.0,6.25,10.77,1.27,23.03125,23.6875,22.0,23.03125,106.6,20.0,109.0,0.0
0.40921,0x316,0.0,0.0,1.0,6.25,10.77,1.27,23.03125,23.6875,22.0,23.03125,106.6,20.0,109.0,0.0
0.41068,0x386,0.0,0.0,1.0,6.25,10.77,1.27,23.09375,23.84375,22.09375,23.125,106.6,20.0,109.0,0.0
0.41334,0x2B0,0.0,0.0,1.0,6.25,10.77,1.27,23.09375,23.84375,22.09375,23.125,106.4,20.0,109.0,0.0
0.4164,0x220,0.0,0.0,1.0,6.25,10.75,1.25,23.09375,23.84375,22.09375,23.125,106.4,20.0,109.0,0.0
0.4192,0x316,0.0,0.0,1.0,6.25,10.75,1.25,23.09375,23.84375,22.09375,23.125,106.4,20.0,109.0,0.0
0.42332,0x2B0,0.0,0.0,1.0,6.25,10.75,1.25,23.09375,23.84375,22.09375,23.125,106.2,20.0,109.0,0.0
0.42637,0x220,0.0,0.0,1.0,6.25,10.77,1.21,23.09375,23.84375,22.09375,23.125,106.2,20.0,109.0,0.0
0.42922,0x316,0.0,0.0,1.0,6.25,10.77,1.21,23.09375,23.84375,22.09375,23.125,106.2,20.0,109.0,0.0
0.43069,0x386,0.0,0.0,1.0,6.25,10.77,1.21,23.28125,23.875,22.21875,23.28125,106.2,20.0,109.0,0.0
0.43332,0x2B0,0.0,0.0,1.0,6.25,10.77,1.21,23.28125,23.875,22.21875,23.28125,106.0,20.0,109.0,0.0
0.4364,0x220,0.0,0.0,1.0,6.25,10.86,1.22,23.28125,23.875,22.21875,23.28125,106.0,20.0,109.0,0.0
0.43917,0x316,0.0,0.0,1.0,6.25,10.86,1.22,23.28125,23.875,22.21875,23.28125,106.0,20.0,107.0,0.0
0.44331,0x2B0,0.0,0.0,1.0,6.25,10.86,1.22,23.28125,23.875,22.21875,23.28125,105.8,20.0,107.0,0.0
0.44637,0x220,0.0,0.0,1.0,6.25,10.96,1.23,23.28125,23.875,22.21875,23.28125,105.8,20.0,107.0,0.0
0.44919,0x316,0.0,0.0,1.0,6.25,10.96,1.23,23.28125,23.875,22.21875,23.28125,105.8,20.0,107.0,0.0
0.45069,0x386,0.0,0.0,1.0,6.25,10.96,1.23,23.40625,23.96875,22.40625,23.40625,105.8,20.0,107.0,0.0
0.45332,0x2B0,0.0,0.0,1.0,6.25,10.96,1.23,23.40625,23.96875,22.40625,23.40625,105.6,20.0,107.0,0.0
0.4564,0x220,0.0,0.0,1.0,6.25,11.01,1.21,23.40625,23.96875,22.40625,23.40625,105.6,20.0,107.0,0.0
0.4592,0x316,0.0,0.0,1.0,6.25,11.01,1.21,23.40625,23.96875,22.40625,23.40625,105.6,20.0,107.0,0.0
