Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00226,0x316,0.0,0.0,1.0,6.25,1.58,0.47,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.00567,0x220,0.0,0.0,1.0,6.25,1.58,0.47,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.0059,0x386,0.0,0.0,1.0,6.25,1.58,0.47,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.01025,0x2B0,0.0,0.0,1.0,6.25,1.58,0.47,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.01237,0x316,0.0,0.0,1.0,6.25,1.58,0.47,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.01567,0x220,0.0,0.0,1.0,6.25,1.58,0.31,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.02024,0x2B0,0.0,0.0,1.0,6.25,1.58,0.31,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.0223,0x316,0.0,0.0,1.0,6.25,1.58,0.31,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.02567,0x220,0.0,0.0,1.0,6.25,1.52,0.01,53.25,53.1875,52.0625,52.28125,1.9,0.0,71.0,0.0
0.0259,0x386,0.0,0.0,1.0,6.25,1.52,0.01,53.21875,53.34375,52.1875,52.375,1.9,0.0,71.0,0.0
0.03025,0x2B0,0.0,0.0,1.0,6.25,1.52,0.01,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.03304,0x316,0.0,0.0,1.0,6.25,1.52,0.01,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.03567,0x220,0.0,0.0,1.0,6.25,1.36,-0.13,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.04023,0x2B0,0.0,0.0,1.0,6.25,1.36,-0.13,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.04249,0x316,0.0,0.0,1.0,6.25,1.36,-0.13,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.04573,0x220,0.0,0.0,1.0,6.25,1.16,-0.07,53.21875,53.34375,52.1875,52.375,2.0,0.0,71.0,0.0
0.04595,0x386,0.0,0.0,1.0,6.25,1.16,-0.07,53.40625,53.375,52.375,52.375,2.0,0.0,71.0,0.0
0.05023,0x2B0,0.0,0.0,1.0,6.25,1.16,-0.07,53.40625,53.375,52.375,52.375,2.0,0.0,71.0,0.0
0.05236,0x316,0.0,0.0,1.0,6.25,1.16,-0.07,53.40625,53.375,52.375,52.375,2.0,0.0,71.0,0.0
0.05568,0x220,0.0,0.0,1.0,6.25,1.01,0.1,53.40625,53.375,52.375,52.375,2.0,0.0,71.0,0.0
0.06021,0x2B0,0.0,0.0,1.0,6.25,1.01,0.1,53.40625,53.375,52.375,52.375,2.0,0.0,71.0,0.0
0.06232,0x316,0.0,0.0,1.0,6.25,1.01,0.1,53.40625,53.375,52.375,52.375,2.0,0.0,73.0,0.0
0.06585,0x220,0.0,0.0,1.0,6.25,1.04,0.34,53.40625,53.375,52.375,52.375,2.0,0.0,73.0,0.0
0.06607,0x386,0.0,0.0,1.0,6.25,1.04,0.34,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.07023,0x2B0,0.0,0.0,1.0,6.25,1.04,0.34,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.07236,0x316,0.0,0.0,1.0,6.25,1.04,0.34,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.07568,0x220,0.0,0.0,1.0,6.25,1.26,0.4,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.08033,0x2B0,0.0,0.0,1.0,6.25,1.26,0.4,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.08243,0x316,0.0,0.0,1.0,6.25,1.26,0.4,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.08567,0x220,0.0,0.0,1.0,6.25,1.56,0.29,53.5,53.5,52.125,52.53125,2.0,0.0,73.0,0.0
0.0859,0x386,0.0,0.0,1.0,6.25,1.56,0.29,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.09041,0x2B0,0.0,0.0,1.0,6.25,1.56,0.29,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.09231,0x316,0.0,0.0,1.0,6.25,1.56,0.29,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.09568,0x220,0.0,0.0,1.0,6.25,1.79,0.18,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.10022,0x2B0,0.0,0.0,1.0,6.25,1.79,0.18,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.10231,0x316,0.0,0.0,1.0,6.25,1.79,0.18,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.10568,0x220,0.0,0.0,1.0,6.25,1.82,0.16,53.625,53.59375,51.875,52.625,2.0,0.0,73.0,0.0
0.10591,0x386,0.0,0.0,1.0,6.25,1.82,0.16,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.11022,0x2B0,0.0,0.0,1.0,6.25,1.82,0.16,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.11235,0x316,0.0,0.0,1.0,6.25,1.82,0.16,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.11568,0x220,0.0,0.0,1.0,6.25,1.6,0.19,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.12022,0x2B0,0.0,0.0,1.0,6.25,1.6,0.19,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.12233,0x316,0.0,0.0,1.0,6.25,1.6,0.19,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.12568,0x220,0.0,0.0,1.0,6.25,1.24,0.25,53.5625,53.375,52.40625,52.5625,2.0,0.0,73.0,0.0
0.1259,0x386,0.0,0.0,1.0,6.25,1.24,0.25,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.13022,0x2B0,0.0,0.0,1.0,6.25,1.24,0.25,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.13283,0x316,0.0,0.0,1.0,6.25,1.24,0.25,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.13568,0x220,0.0,0.0,1.0,6.25,0.98,0.31,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.14022,0x2B0,0.0,0.0,1.0,6.25,0.98,0.31,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.1426,0x316,0.0,0.0,1.0,6.25,0.98,0.31,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.1457,0x220,0.0,0.0,1.0,6.25,0.96,0.32,53.5,53.53125,52.125,52.5,2.0,0.0,73.0,0.0
0.14593,0x386,0.0,0.0,1.0,6.25,0.96,0.32,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.15022,0x2B0,0.0,0.0,1.0,6.25,0.96,0.32,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.1523,0x316,0.0,0.0,1.0,6.25,0.96,0.32,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.15568,0x220,0.0,0.0,1.0,6.25,1.18,0.27,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.16022,0x2B0,0.0,0.0,1.0,6.25,1.18,0.27,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.16235,0x316,0.0,0.0,1.0,6.25,1.18,0.27,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.16581,0x220,0.0,0.0,1.0,6.25,1.46,0.17,53.5,53.59375,52.4375,52.5625,2.0,0.0,73.0,0.0
0.16605,0x386,0.0,0.0,1.0,6.25,1.46,0.17,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.17022,0x2B0,0.0,0.0,1.0,6.25,1.46,0.17,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.17228,0x316,0.0,0.0,1.0,6.25,1.46,0.17,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.17567,0x220,0.0,0.0,1.0,6.25,1.65,0.05,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.18037,0x2B0,0.0,0.0,1.0,6.25,1.65,0.05,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.18254,0x316,0.0,0.0,1.0,6.25,1.65,0.05,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.18567,0x220,0.0,0.0,1.0,6.25,1.53,0.03,53.4375,53.59375,52.65625,52.53125,2.0,0.0,73.0,0.0
0.1859,0x386,0.0,0.0,1.0,6.25,1.53,0.03,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.19044,0x2B0,0.0,0.0,1.0,6.25,1.53,0.03,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.19235,0x316,0.0,0.0,1.0,6.25,1.53,0.03,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.19569,0x220,0.0,0.0,1.0,6.25,1.28,0.19,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.20021,0x2B0,0.0,0.0,1.0,6.25,1.28,0.19,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.2023,0x316,0.0,0.0,1.0,6.25,1.28,0.19,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.20568,0x220,0.0,0.0,1.0,6.25,1.2,0.35,53.75,53.78125,52.1875,52.8125,2.0,0.0,73.0,0.0
0.20591,0x386,0.0,0.0,1.0,6.25,1.2,0.35,53.8125,53.78125,52.125,52.875,2.0,0.0,73.0,0.0
