Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00577,0x220,0.0,0.0,1.0,6.25,1.38,0.2,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.00599,0x386,0.0,0.0,1.0,6.25,1.38,0.2,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.00749,0x316,0.0,0.0,1.0,6.25,1.38,0.2,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.01088,0x2B0,0.0,0.0,1.0,6.25,1.38,0.2,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.01577,0x220,0.0,0.0,1.0,6.25,1.37,0.23,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.01748,0x316,0.0,0.0,1.0,6.25,1.37,0.23,20.1875,20.28125,19.71875,19.84375,1.1,20.0,5.0,0.0
0.02084,0x2B0,0.0,0.0,1.0,6.25,1.37,0.23,20.1875,20.28125,19.71875,19.84375,1.1,0.0,5.0,0.0
0.02578,0x220,0.0,0.0,1.0,6.25,1.34,0.24,20.1875,20.28125,19.71875,19.84375,1.1,0.0,5.0,0.0
0.02601,0x386,0.0,0.0,1.0,6.25,1.34,0.24,20.15625,20.15625,19.59375,19.8125,1.1,0.0,5.0,0.0
0.02749,0x316,0.0,0.0,1.0,6.25,1.34,0.24,20.15625,20.15625,19.59375,19.8125,1.1,0.0,5.0,0.0
0.03078,0x2B0,0.0,0.0,1.0,6.25,1.34,0.24,20.15625,20.15625,19.59375,19.8125,1.4,12.0,5.0,0.0
0.03577,0x220,0.0,0.0,1.0,6.25,1.4,0.21,20.15625,20.15625,19.59375,19.8125,1.4,12.0,5.0,0.0
0.0376,0x316,0.0,0.0,1.0,6.25,1.4,0.21,20.15625,20.15625,19.59375,19.8125,1.4,12.0,5.0,0.0
0.04083,0x2B0,0.0,0.0,1.0,6.25,1.4,0.21,20.15625,20.15625,19.59375,19.8125,1.4,12.0,5.0,0.0
0.04577,0x220,0.0,0.0,1.0,6.25,1.5,0.18,20.15625,20.15625,19.59375,19.8125,1.4,12.0,5.0,0.0
0.046,0x386,0.0,0.0,1.0,6.25,1.5,0.18,20.1875,20.09375,19.625,19.75,1.4,12.0,5.0,0.0
0.04747,0x316,0.0,0.0,1.0,6.25,1.5,0.18,20.1875,20.09375,19.625,19.75,1.4,12.0,5.0,0.0
0.05078,0x2B0,0.0,0.0,1.0,6.25,1.5,0.18,20.1875,20.09375,19.625,19.75,1.6,8.0,5.0,0.0
