Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00238,0x2B0,0.0,0.0,1.0,6.25,5.37,0.44,17.46875,17.6875,16.8125,17.25,58.7,0.0,109.0,0.0
0.00473,0x316,0.0,0.0,1.0,6.25,5.37,0.44,17.46875,17.6875,16.8125,17.25,58.7,0.0,109.0,0.0
0.0072,0x220,0.0,0.0,1.0,6.25,5.37,0.44,17.46875,17.6875,16.8125,17.25,58.7,0.0,109.0,0.0
0.01236,0x2B0,0.0,0.0,1.0,6.25,5.37,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.01489,0x316,0.0,0.0,1.0,6.25,5.37,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.01716,0x220,0.0,0.0,1.0,6.25,5.4,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.02148,0x386,0.0,0.0,1.0,6.25,5.4,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.02232,0x2B0,0.0,0.0,1.0,6.25,5.4,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.02442,0x316,0.0,0.0,1.0,6.25,5.4,0.44,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.02719,0x220,0.0,0.0,1.0,6.25,5.4,0.43,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.03231,0x2B0,0.0,0.0,1.0,6.25,5.4,0.43,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.03497,0x316,0.0,0.0,1.0,6.25,5.4,0.43,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.03716,0x220,0.0,0.0,1.0,6.25,5.41,0.39,17.46875,17.6875,16.8125,17.25,58.6,0.0,109.0,0.0
0.04148,0x386,0.0,0.0,1.0,6.25,5.41,0.39,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.04231,0x2B0,0.0,0.0,1.0,6.25,5.41,0.39,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.04446,0x316,0.0,0.0,1.0,6.25,5.41,0.39,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.0472,0x220,0.0,0.0,1.0,6.25,5.44,0.34,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.05231,0x2B0,0.0,0.0,1.0,6.25,5.44,0.34,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.05497,0x316,0.0,0.0,1.0,6.25,5.44,0.34,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.05716,0x220,0.0,0.0,1.0,6.25,5.45,0.32,17.53125,17.84375,16.96875,17.3125,58.6,0.0,109.0,0.0
0.06148,0x386,0.0,0.0,1.0,6.25,5.45,0.32,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.06232,0x2B0,0.0,0.0,1.0,6.25,5.45,0.32,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.06489,0x316,0.0,0.0,1.0,6.25,5.45,0.32,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.06719,0x220,0.0,0.0,1.0,6.25,5.47,0.37,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.07231,0x2B0,0.0,0.0,1.0,6.25,5.47,0.37,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.07496,0x316,0.0,0.0,1.0,6.25,5.47,0.37,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.07717,0x220,0.0,0.0,1.0,6.25,5.49,0.45,17.59375,17.90625,17.15625,17.46875,58.6,0.0,109.0,0.0
0.08148,0x386,0.0,0.0,1.0,6.25,5.49,0.45,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.08231,0x2B0,0.0,0.0,1.0,6.25,5.49,0.45,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.08473,0x316,0.0,0.0,1.0,6.25,5.49,0.45,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.0872,0x220,0.0,0.0,1.0,6.25,5.51,0.49,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.09231,0x2B0,0.0,0.0,1.0,6.25,5.51,0.49,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.09497,0x316,0.0,0.0,1.0,6.25,5.51,0.49,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.09716,0x220,0.0,0.0,1.0,6.25,5.5,0.47,17.75,18.0,17.15625,17.5,58.6,0.0,109.0,0.0
0.10148,0x386,0.0,0.0,1.0,6.25,5.5,0.47,17.875,18.15625,17.375,17.65625,58.6,0.0,109.0,0.0
0.10231,0x2B0,0.0,0.0,1.0,6.25,5.5,0.47,17.875,18.15625,17.375,17.65625,58.6,0.0,109.0,0.0
0.10473,0x316,0.0,0.0,1.0,6.25,5.5,0.47,17.875,18.15625,17.375,17.65625,58.6,0.0,109.0,0.0
