scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
normal_high_speed_20kph,0,0.0,0.71,normal,0,0.036873,0.175735,4.766,0.3577,0.045499,0.025476,0.188364,4.1399,0.9213,0.2251,131,-50.33,-57.57,4539.3
normal_high_speed_20kph,1,0.7116,1.4221,normal,0,0.044293,0.175785,3.9687,-0.2142,0.056119,0.027827,0.182447,3.2511,-0.0807,0.183,175,-41.57,-56.84,4655.0
normal_high_speed_20kph,2,1.4238,2.14,normal,0,0.046396,0.167314,3.6062,-0.2798,0.059182,0.028332,0.189374,3.1999,-0.0764,0.1785,179,-43.06,-57.27,4479.9
normal_high_speed_20kph,3,2.1419,2.8519,normal,0,0.051344,0.186456,3.6315,-0.4865,0.066309,0.029589,0.188822,2.8476,-0.207,0.1643,180,-43.59,-57.39,4445.1
normal_high_speed_20kph,4,2.8537,3.5636,normal,0,0.051254,0.183465,3.5795,-0.5215,0.066388,0.029095,0.19529,2.9416,-0.1633,0.1622,162,-44.95,-57.82,4383.2
normal_high_speed_20kph,5,3.57,4.2819,normal,0,0.052346,0.187617,3.5842,-0.5912,0.068106,0.029014,0.187627,2.7549,-0.2994,0.155,145,-43.94,-57.66,4413.5
normal_high_speed_20kph,6,4.2823,4.9936,normal,0,0.041382,0.170071,4.1098,-0.1213,0.052316,0.026229,0.177254,3.3881,0.1241,0.1892,175,-45.11,-57.01,4640.1
normal_high_speed_20kph,7,5.0,5.71,normal,0,0.041244,0.210032,5.0924,0.5366,0.050658,0.028913,0.220723,4.3572,1.4449,0.2357,120,-48.69,-56.92,4593.3
normal_high_speed_20kph,8,5.7117,6.4221,normal,0,0.043845,0.19457,4.4377,0.5977,0.0535,0.031346,0.226278,4.2295,1.1841,0.2414,115,-49.08,-56.98,4456.3
normal_high_speed_20kph,9,6.4234,7.1399,normal,0,0.040028,0.203379,5.0809,0.6003,0.049154,0.028079,0.224814,4.5737,1.7512,0.2387,125,-47.71,-57.69,4449.2
normal_high_speed_20kph,10,7.1418,7.8518,normal,0,0.036748,0.196108,5.3365,0.4146,0.045441,0.025219,0.196863,4.3323,1.1729,0.2192,157,-44.35,-57.79,4638.4
normal_high_speed_20kph,11,7.8534,8.5634,normal,0,0.042111,0.197571,4.6916,0.7014,0.05109,0.030602,0.220596,4.3178,1.418,0.2517,109,-47.12,-58.21,4366.6
normal_high_speed_20kph,12,8.57,9.2818,normal,0,0.036808,0.176742,4.8018,0.2735,0.045469,0.025341,0.182058,4.004,0.5993,0.219,143,-50.03,-58.11,4519.6
normal_high_speed_20kph,13,9.282,9.9932,normal,0,0.035848,0.175122,4.885,0.3208,0.044317,0.024621,0.177104,3.9963,0.7299,0.2217,142,-49.17,-57.94,4505.9
normal_high_speed_20kph,14,9.9999,10.7099,normal,0,0.034227,0.154506,4.5141,0.1428,0.042505,0.023159,0.169146,3.9795,0.5419,0.2135,143,-50.22,-58.43,4526.6
normal_high_speed_20kph,15,10.7119,11.4222,normal,0,0.031705,0.143402,4.5231,0.158,0.039527,0.021166,0.144117,3.6461,0.5066,0.2112,164,-51.85,-58.96,4510.1
normal_high_speed_20kph,16,11.4232,12.1399,normal,0,0.031914,0.134044,4.2002,0.0911,0.039784,0.021312,0.141539,3.5577,0.5117,0.2099,150,-52.36,-59.48,4442.0
normal_high_speed_20kph,17,12.1419,12.8519,normal,0,0.031513,0.1303,4.1349,0.1854,0.039116,0.021355,0.143244,3.662,0.4401,0.2132,129,-52.75,-59.66,4469.6
normal_high_speed_20kph,18,12.8531,13.5631,normal,0,0.029411,0.132124,4.4923,0.1926,0.036581,0.019795,0.136831,3.7405,0.6418,0.2144,148,-52.53,-59.92,4511.7
normal_high_speed_20kph,19,13.5698,14.282,normal,0,0.032754,0.140321,4.284,0.0913,0.040827,0.021882,0.165155,4.0452,0.4841,0.2063,125,-52.37,-59.97,4595.4
normal_high_speed_20kph,20,14.2822,14.993,normal,0,0.0435,0.153784,3.5353,-0.5712,0.056641,0.024007,0.157536,2.7813,-0.1884,0.1574,135,-51.73,-59.29,4493.5
normal_high_speed_20kph,21,14.9998,15.7099,normal,0,0.041072,0.148895,3.6252,-0.4606,0.052981,0.023809,0.155754,2.9398,-0.2034,0.1647,153,-52.32,-59.01,4574.7
normal_high_speed_20kph,22,15.712,16.4224,normal,0,0.039116,0.146695,3.7503,-0.3622,0.050032,0.0236,0.16056,3.2092,-0.1379,0.1732,138,-52.65,-59.15,4596.9
normal_high_speed_20kph,23,16.4231,17.1399,normal,0,0.02963,0.130833,4.4156,-0.0448,0.037222,0.019245,0.134421,3.6114,0.2535,0.1983,172,-52.52,-59.01,4725.6
