state,channel,filename,raw_duration_sec,raw_noise_band_pct (0-1500Hz),raw_gear_fault_pct (2-3.5kHz),raw_harmonics_pct (4-10kHz),filtered_noise_reduction_pct,gear_peak_retention_pct,snr_improvement_gain_db
abnormal,OBD,go_20-OBD-2.wav,270.07,17.69,0.0,0.0,17.69,0.0,0.33
abnormal,GEAR,go_20-gear-1.wav,270.07,23.67,3.58,0.24,25.36,4.43,0.87
abnormal,OBD,go_60-OBD-2.wav,90.62,62.9,0.01,0.0,62.91,0.01,3.21
abnormal,GEAR,go_60-gear-1.wav,90.62,57.3,7.43,1.98,69.21,17.51,4.26
abnormal,OBD,go_80-OBD-2.wav,68.69,71.55,0.02,0.0,71.57,0.06,5.32
abnormal,GEAR,go_80-gear-1.wav,68.69,52.09,19.1,4.57,69.95,44.88,5.12
abnormal,OBD,go_up_12-OBD-2_cut.wav,40.24,23.79,0.0,0.0,23.79,0.0,0.76
abnormal,GEAR,go_up_12-gear-1_cut.wav,40.24,33.75,1.69,0.24,34.72,2.38,1.52
abnormal,OBD,go_up_18-OBD-2.wav,35.85,27.5,0.0,0.0,27.5,0.0,0.8
abnormal,GEAR,go_up_18-gear-1.wav,35.85,21.25,2.03,0.35,22.15,2.3,0.58
abnormal,OBD,go_up_30-OBD-2.wav,28.94,32.87,0.0,0.0,32.87,0.0,1.38
abnormal,GEAR,go_up_30-gear-1.wav,28.94,38.74,1.66,0.27,40.01,2.57,1.93
abnormal,OBD,go_up_6-OBD-2.wav,26.54,35.3,0.0,0.0,35.3,0.0,1.61
abnormal,GEAR,go_up_6-gear-1.wav,26.54,26.48,2.73,0.57,27.86,3.58,1.17
abnormal,OBD,go_up_circle_40-OBD-2.wav,60.28,45.71,0.0,0.0,45.71,0.01,2.49
abnormal,GEAR,go_up_circle_40-gear-1.wav,60.28,54.66,11.45,1.54,63.54,26.03,4.27
normal,GEAR,record_20-gear-1.wav,263.56,29.0,2.24,0.57,30.24,2.99,1.27
normal,OBD,record_20-obd-2.wav,263.56,14.99,0.0,0.0,14.99,0.0,0.44
normal,GEAR,record_60-gear-1.wav,90.22,63.56,5.08,1.88,70.2,13.63,4.77
normal,OBD,record_60-obd-2.wav,90.22,35.47,0.01,0.0,35.47,0.01,1.51
normal,GEAR,record_80-gear-1.wav,65.19,67.3,4.62,1.64,73.07,14.55,5.43
normal,OBD,record_80-obd-2.wav,65.19,55.77,0.0,0.0,55.77,0.01,3.22
normal,GEAR,record_up_12-gear-1.wav,25.13,25.71,2.69,1.15,27.39,3.45,1.09
normal,OBD,record_up_12-obd-2.wav,25.13,35.96,0.0,0.0,35.96,0.0,1.65
normal,GEAR,record_up_18-gear-1.wav,29.34,37.84,1.2,0.65,39.02,1.78,1.8
normal,OBD,record_up_18-obd-2.wav,29.34,31.7,0.0,0.0,31.7,0.0,1.35
normal,GEAR,record_up_30-gear-1.wav,29.14,23.48,2.38,0.82,24.69,2.76,0.73
normal,OBD,record_up_30-obd-2.wav,29.14,34.13,0.0,0.0,34.13,0.0,1.5
normal,GEAR,record_up_6-gear-1.wav,25.63,48.08,1.52,0.5,49.52,2.62,2.51
normal,OBD,record_up_6-obd-2.wav,25.63,34.75,0.0,0.0,34.76,0.0,1.53
normal,GEAR,record_circle-gear-1.wav,60.48,54.31,2.86,2.0,58.13,6.22,3.53
normal,OBD,record_circle-obd-2.wav,60.48,33.65,0.0,0.0,33.66,0.0,1.5
