state,scenario,can_sec,audio_sec,dur_error_sec,xcorr_lag_ms,xcorr_r,can_windows,matched_windows,dropped_windows,match_rate_pct
normal,high_speed_20kph,261.9,263.48,1.579,804.0,-0.0688,732,732,0,100.0
normal,high_speed_60kph,90.73,90.16,-0.57,840.0,0.0559,253,251,2,99.21
normal,high_speed_80kph,46.32,65.09,18.773,28.0,0.0175,128,128,0,100.0
normal,hills_6deg,25.36,25.5,0.14,668.0,0.1406,70,70,0,100.0
normal,hills_12deg,26.28,25.08,-1.204,0.0,0.3327,72,69,3,95.83
normal,hills_18deg,25.91,29.27,3.356,-836.0,0.0634,71,71,0,100.0
normal,hills_30deg,29.04,29.07,0.031,-988.0,0.2116,80,80,0,100.0
normal,steering_pad_40kph,60.52,60.41,-0.112,-4.0,0.0683,168,168,0,100.0
abnormal,high_speed_20kph,270.28,269.89,-0.394,976.0,0.1913,755,754,1,99.87
abnormal,high_speed_60kph,89.54,90.48,0.943,0.0,0.2553,249,249,0,100.0
abnormal,high_speed_80kph,68.27,68.57,0.301,0.0,0.2754,190,190,0,100.0
abnormal,hills_6deg,28.07,25.36,-2.713,1000.0,0.1851,77,70,7,90.91
abnormal,hills_12deg,23.03,31.75,8.718,1000.0,0.0868,63,63,0,100.0
abnormal,hills_18deg,35.15,35.78,0.631,-980.0,0.2042,97,97,0,100.0
abnormal,hills_30deg,25.07,28.84,3.769,576.0,-0.0634,69,69,0,100.0
abnormal,steering_pad_40kph,59.86,60.11,0.243,-964.0,-0.0777,166,166,0,100.0
