state,scenario,channel,filename,sample_rate,orig_duration_sec,trim_offset_sec,aligned_duration_sec,can_duration_sec,dur_diff_sec,status,saved_path
abnormal,high_speed_20kph,OBD,go_20-OBD-2.wav,44100,270.067,0.0,270.067,270.53,-0.463,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_20kph/go_20-OBD-2.wav
abnormal,high_speed_20kph,GEAR,go_20-gear-1.wav,44100,270.067,0.0,270.067,270.53,-0.463,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_20kph/go_20-gear-1.wav
abnormal,high_speed_60kph,OBD,go_60-OBD-2.wav,44100,90.623,0.0,90.623,90.64,-0.017,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_60kph/go_60-OBD-2.wav
abnormal,high_speed_60kph,GEAR,go_60-gear-1.wav,44100,90.623,0.0,90.623,90.64,-0.017,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_60kph/go_60-gear-1.wav
abnormal,high_speed_80kph,OBD,go_80-OBD-2.wav,44100,68.693,0.0,68.693,68.46,0.233,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_80kph/go_80-OBD-2.wav
abnormal,high_speed_80kph,GEAR,go_80-gear-1.wav,44100,68.693,0.0,68.693,68.46,0.233,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/high_speed_80kph/go_80-gear-1.wav
abnormal,hills_12deg,OBD,go_up_12-OBD-2_cut.wav,44100,40.243,8.38,31.863,31.86,0.003,TRIMMED (-8.38s),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/hills_12deg/go_up_12-OBD-2_cut.wav
abnormal,hills_12deg,GEAR,go_up_12-gear-1_cut.wav,44100,40.243,8.38,31.863,31.86,0.003,TRIMMED (-8.38s),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/hills_12deg/go_up_12-gear-1_cut.wav
abnormal,hills_18deg,OBD,go_up_18-OBD-2.wav,44100,35.849,0.0,35.849,39.26,-3.411,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/hills_18deg/go_up_18-OBD-2.wav
abnormal,hills_18deg,GEAR,go_up_18-gear-1.wav,44100,35.849,0.0,35.849,39.26,-3.411,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/abnormal/hills_18deg/go_up_18-gear-1.wav
