state,channel,filename,can_dur_sec,raw_audio_dur_sec,dur_diff_sec,trim_offset_sec,corrected_audio_dur_sec,correction_status
NORMAL,GEAR,record_20-gear-1.wav,262.79,263.56,0.77,0.0,263.56,PERFECT_SYNC (No Trim Needed)
NORMAL,OBD,record_20-obd-2.wav,262.79,263.56,0.77,0.0,263.56,PERFECT_SYNC (No Trim Needed)
NORMAL,GEAR,record_60-gear-1.wav,90.78,90.22,-0.56,0.0,90.22,PERFECT_SYNC (No Trim Needed)
NORMAL,OBD,record_60-obd-2.wav,90.78,90.22,-0.56,0.0,90.22,PERFECT_SYNC (No Trim Needed)
NORMAL,GEAR,record_80-gear-1.wav,65.26,65.19,-0.07,0.0,65.19,PERFECT_SYNC (No Trim Needed)
NORMAL,OBD,record_80-obd-2.wav,65.26,65.19,-0.07,0.0,65.19,PERFECT_SYNC (No Trim Needed)
NORMAL,GEAR,record_up_12-gear-1.wav,26.28,25.13,-1.15,0.0,25.13,CORRECTED (1.15s Missing Audio Handled)
NORMAL,OBD,record_up_12-obd-2.wav,26.28,25.13,-1.15,0.0,25.13,CORRECTED (1.15s Missing Audio Handled)
NORMAL,GEAR,record_up_18-gear-1.wav,31.78,29.34,-2.44,0.0,29.34,CORRECTED (2.44s Missing Audio Handled)
NORMAL,OBD,record_up_18-obd-2.wav,31.78,29.34,-2.44,0.0,29.34,CORRECTED (2.44s Missing Audio Handled)
NORMAL,GEAR,record_up_30-gear-1.wav,29.98,29.14,-0.84,0.0,29.14,CORRECTED (0.84s Missing Audio Handled)
NORMAL,OBD,record_up_30-obd-2.wav,29.98,29.14,-0.84,0.0,29.14,CORRECTED (0.84s Missing Audio Handled)
NORMAL,GEAR,record_up_6-gear-1.wav,25.42,25.63,0.21,0.0,25.63,PERFECT_SYNC (No Trim Needed)
NORMAL,OBD,record_up_6-obd-2.wav,25.42,25.63,0.21,0.0,25.63,PERFECT_SYNC (No Trim Needed)
NORMAL,GEAR,record_circle-gear-1.wav,61.9,60.48,-1.42,0.0,60.48,CORRECTED (1.42s Missing Audio Handled)
NORMAL,OBD,record_circle-obd-2.wav,61.9,60.48,-1.42,0.0,60.48,CORRECTED (1.42s Missing Audio Handled)
ABNORMAL,OBD,go_20-OBD-2.wav,270.53,270.07,-0.46,0.0,270.07,PERFECT_SYNC (No Trim Needed)
ABNORMAL,GEAR,go_20-gear-1.wav,270.53,270.07,-0.46,0.0,270.07,PERFECT_SYNC (No Trim Needed)
ABNORMAL,OBD,go_60-OBD-2.wav,90.64,90.62,-0.02,0.0,90.62,PERFECT_SYNC (No Trim Needed)
ABNORMAL,GEAR,go_60-gear-1.wav,90.64,90.62,-0.02,0.0,90.62,PERFECT_SYNC (No Trim Needed)
ABNORMAL,OBD,go_80-OBD-2.wav,68.46,68.69,0.23,0.0,68.69,PERFECT_SYNC (No Trim Needed)
ABNORMAL,GEAR,go_80-gear-1.wav,68.46,68.69,0.23,0.0,68.69,PERFECT_SYNC (No Trim Needed)
ABNORMAL,OBD,go_up_12-OBD-2_cut.wav,31.86,40.24,8.38,8.38,31.86,CORRECTED (-8.38s Excess Idle Trimmed)
ABNORMAL,GEAR,go_up_12-gear-1_cut.wav,31.86,40.24,8.38,8.38,31.86,CORRECTED (-8.38s Excess Idle Trimmed)
ABNORMAL,OBD,go_up_18-OBD-2.wav,39.26,35.85,-3.41,0.0,35.85,CORRECTED (3.41s Missing Audio Handled)
ABNORMAL,GEAR,go_up_18-gear-1.wav,39.26,35.85,-3.41,0.0,35.85,CORRECTED (3.41s Missing Audio Handled)
ABNORMAL,OBD,go_up_30-OBD-2.wav,28.4,28.94,0.54,0.0,28.94,PERFECT_SYNC (No Trim Needed)
ABNORMAL,GEAR,go_up_30-gear-1.wav,28.4,28.94,0.54,0.0,28.94,PERFECT_SYNC (No Trim Needed)
ABNORMAL,OBD,go_up_6-OBD-2.wav,28.06,26.54,-1.52,0.0,26.54,CORRECTED (1.52s Missing Audio Handled)
ABNORMAL,GEAR,go_up_6-gear-1.wav,28.06,26.54,-1.52,0.0,26.54,CORRECTED (1.52s Missing Audio Handled)
ABNORMAL,OBD,go_up_circle_40-OBD-2.wav,59.86,60.28,0.42,0.0,60.28,PERFECT_SYNC (No Trim Needed)
ABNORMAL,GEAR,go_up_circle_40-gear-1.wav,59.86,60.28,0.42,0.0,60.28,PERFECT_SYNC (No Trim Needed)
