state,channel,filename,can_duration_sec,audio_duration_sec,dur_diff_sec,audit_status
abnormal,OBD,go_20-OBD-2.wav,270.53,270.07,-0.46,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,GEAR,go_20-gear-1.wav,270.53,270.07,-0.46,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,OBD,go_60-OBD-2.wav,90.64,90.62,-0.02,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,GEAR,go_60-gear-1.wav,90.64,90.62,-0.02,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,OBD,go_80-OBD-2.wav,68.46,68.69,0.23,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,GEAR,go_80-gear-1.wav,68.46,68.69,0.23,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,OBD,go_up_12-OBD-2_cut.wav,31.86,40.24,8.38,FRONT_IDLE_DELAY (오디오 녹음 먼저 켜짐 / 앞부분 대기 소음 포함)
abnormal,GEAR,go_up_12-gear-1_cut.wav,31.86,40.24,8.38,FRONT_IDLE_DELAY (오디오 녹음 먼저 켜짐 / 앞부분 대기 소음 포함)
abnormal,OBD,go_up_18-OBD-2.wav,39.26,35.85,-3.41,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
abnormal,GEAR,go_up_18-gear-1.wav,39.26,35.85,-3.41,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
abnormal,OBD,go_up_30-OBD-2.wav,28.4,28.94,0.54,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,GEAR,go_up_30-gear-1.wav,28.4,28.94,0.54,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,OBD,go_up_6-OBD-2.wav,28.06,26.54,-1.52,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
abnormal,GEAR,go_up_6-gear-1.wav,28.06,26.54,-1.52,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
abnormal,OBD,go_up_circle_40-OBD-2.wav,59.86,60.28,0.42,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
abnormal,GEAR,go_up_circle_40-gear-1.wav,59.86,60.28,0.42,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,GEAR,record_20-gear-1.wav,262.79,263.56,0.77,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,OBD,record_20-obd-2.wav,262.79,263.56,0.77,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,GEAR,record_60-gear-1.wav,90.78,90.22,-0.56,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,OBD,record_60-obd-2.wav,90.78,90.22,-0.56,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,GEAR,record_80-gear-1.wav,65.26,65.19,-0.07,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,OBD,record_80-obd-2.wav,65.26,65.19,-0.07,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,GEAR,record_up_12-gear-1.wav,26.28,25.13,-1.15,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,OBD,record_up_12-obd-2.wav,26.28,25.13,-1.15,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,GEAR,record_up_18-gear-1.wav,31.78,29.34,-2.44,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,OBD,record_up_18-obd-2.wav,31.78,29.34,-2.44,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,GEAR,record_up_30-gear-1.wav,29.98,29.14,-0.84,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,OBD,record_up_30-obd-2.wav,29.98,29.14,-0.84,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,GEAR,record_up_6-gear-1.wav,25.42,25.63,0.21,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,OBD,record_up_6-obd-2.wav,25.42,25.63,0.21,EXACT_ALIGNED (1초 이내 정밀 대조 완료)
normal,GEAR,record_circle-gear-1.wav,61.9,60.48,-1.42,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
normal,OBD,record_circle-obd-2.wav,61.9,60.48,-1.42,FRONT_MISSING_AUDIO (오디오 녹음 늦음 / 앞부분 소리 손실)
