,t_0,t_1,t_2,t_3,t_4
speed_kph,80.0,80.0,80.0,80.0,80.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.9537890625,0.95854296875,0.9605546875,0.96173046875,0.9616171875
slip_ratio_fr,0.945921875,0.9472734375,0.94830078125,0.94969140625,0.9495390625
slip_ratio_rl,0.9329609375,0.9376171875,0.9397734375,0.94118359375,0.94091015625
slip_ratio_rr,0.92322265625,0.92130859375,0.92174609375,0.92404296875,0.923265625
slip_diff_front_rear,1.7410937500000043,1.8756249999999848,1.8934375000000043,1.8478125000000036,1.8792187499999928
norm_yaw_rate,2.1812940000000003,1.72057975,1.6563615000000005,1.7387264999999998,1.947678
norm_lat_accel,-8.94702,-8.947,-8.94736,-8.95138,-8.9536
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,76.078625,76.14375,75.9253125,48.124125,74.1815625
peak,77.0,77.0,76.6875,70.25,76.125
p2p,2.03125,1.5,1.40625,52.53125,6.25
rms,76.07926237853847,76.14432220912798,75.92580842352372,50.58782720891213,74.19010595939073
std,0.3114196074029379,0.2951959095245054,0.2744203763730929,15.594770107415018,1.125880688269743
variance,0.096982171875,0.087140625,0.07530654296875,243.196854703125,1.2676073242187502
crest_factor,1.0121023468508452,1.0112375784043612,1.0100320509230205,1.3886739928538374,1.0260802167025933
shape_factor,1.0000083778924562,1.0000075148535237,1.00000653172845,1.051194742946747,1.0001151695799173
clearance_factor,8.827940507979795,8.824164475088354,8.80098510577982,10.126629141381464,8.838515284448503
np4,1.0000671664093213,1.0000602516305246,1.0000523360915428,1.310457062902849,1.0008987464847552
skew,0.5272042865988467,0.5751393343724799,0.4405920142769328,-0.3717054393669677,-1.609239303027406
kurt,0.1358525755591522,-0.4979556587741078,-0.5427136393421979,-1.12612511908897,2.813523028391272
rel_diff_fl_rl_mean,0.0222011416304546,0.0230387655522764,0.0220361235599805,0.0314931012184494,0.0238833131366316
rel_diff_fl_rl_std,0.0042429577850788,0.0041194784419979,0.004256693027906,0.0093128959099272,0.0046908715856743
rel_diff_fl_rl_p2p,0.0240334878973902,0.0199125026380954,0.0244523470009188,0.0440436171728284,0.0278952301121664
rel_diff_fr_rr_mean,0.0223486575216869,0.0185277540171379,0.0256069951152333,0.026954693709771,0.0210937901254149
rel_diff_fr_rr_std,0.0058915503913487,0.0040228248033948,0.0048682954816546,0.0077062159251927,0.0048200491021361
rel_diff_fr_rr_p2p,0.0422657890609275,0.0182531274182541,0.0236234538822435,0.0363838576645104,0.0428837119634798
rel_diff_fl_fr_std,0.0064515010926477,0.0029053848803164,0.0054496980518085,0.0024305910764469,0.0053401020893308
rel_diff_rl_rr_std,0.0106656926639017,0.0036349063972837,0.0079544658494176,0.0050772636599172,0.0075361180867745
norm_rolling_var_mean,1.4839290784921456e-05,1.4923703975118248e-05,1.156724492357412e-05,0.0010759005869396,3.0219566746736807e-05
norm_rolling_var_max,2.609342118087229e-05,1.9785535993210672e-05,1.4691076914792197e-05,0.0018831573854256,0.0001107828231324
norm_p2p,0.0269340812643166,0.0199125026380954,0.0186500951701923,1.073004644456879,0.0832693436184073
norm_rms,1.0088000174438498,1.0108160112435012,1.0069500821137825,1.033308241249633,0.9884418281949696
norm_std,0.0041293789602915,0.0039187262181078,0.0036394425855987,0.3185391696274811,0.0150002153447779
norm_fft_peak_freq,1.0283273809005844,1.029502011059322,1.0285161816536086,0.0138954193671313,0.018126872519614
log_norm_fft_spectral_energy,6.23408638257018,6.23807226301948,6.2304244719257005,6.233423235081819,6.193287440265854
fft_spectral_entropy,0.0001665509224374,0.0001506505659186,0.0001270958301256,0.3991690932336933,0.0020079705481961
norm_fft_spectral_centroid,8.859817870257799e-06,8.835438040961701e-06,6.2135084079299325e-06,0.0026991667823247,1.2564479953098974e-05
fft_energy_low_band,7.241500647851019e-06,7.183243435003549e-06,5.639827514984735e-06,0.0037709204096791,1.4351543551097522e-05
fft_energy_mid_band,0.0,0.0,0.0,4.0710886890608434e-05,0.0
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
