,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,12.0,12.0,12.0,12.0,12.0
slip_ratio_fl,1.0163125000000002,0.971453125,0.986984375,0.985921875,1.03746875
slip_ratio_fr,1.01246875,0.971640625,0.98725,0.986421875,1.037765625
slip_ratio_rl,0.992734375,0.942890625,0.960796875,0.960890625,1.01490625
slip_ratio_rr,0.992484375,0.94809375,0.96503125,0.96728125,1.019796875
slip_diff_front_rear,0.4356250000000017,0.5210937499999986,0.4840625000000003,0.4417187499999997,0.4053125000000008
norm_yaw_rate,8.239322,7.526764999999999,8.427978,6.504316,7.076207000000001
norm_lat_accel,-0.6859169230769229,-0.6758538461538461,-0.6772061538461538,-0.6830553846153845,-0.6885646153846154
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,19.3456875,19.985625,19.5620625,18.9738125,19.5205
peak,22.0,21.5,20.3125,21.71875,20.6875
p2p,12.5,2.5625,2.59375,12.5625,2.5625
rms,19.50375850196892,19.99319454526965,19.57101257480371,19.13184747719428,19.528569816105325
std,2.478098233619634,0.5501104292548906,0.5918141171168106,2.453981887762978,0.5613544446247842
variance,6.140970855468749,0.302621484375,0.35024394921875,6.02202710546875,0.3151188124999999
crest_factor,1.1279877156897262,1.0753659177035748,1.0378870241057891,1.1352144650896567,1.059345369108336
shape_factor,1.0081708650555283,1.0003787494896783,1.0004575220431746,1.0083291103037029,1.0004134021211202
clearance_factor,5.001849230452299,4.809274795425671,4.59257288385779,4.986060272002977,4.682335647582411
np4,1.0469035474791484,1.0030578538020165,1.0035100047145176,1.048076565432772,1.0033110949432322
skew,-2.259662627842012,0.3736027880616399,-1.3281548843551831,-2.2014490811422665,0.0827956622850404
kurt,4.757506882168876,-0.6857688227997061,1.0104584621788917,4.5726107911517495,-0.8345899081918522
rel_diff_fl_rl_mean,0.0251274574800073,0.0225247213320299,0.019979961245659,0.0251274574800073,0.0225247213320299
rel_diff_fl_rl_std,0.0132516112881475,0.0130015791922059,0.0103272865704458,0.0132516112881475,0.0130015791922059
rel_diff_fl_rl_p2p,0.1368810913307794,0.0948143173791072,0.0985268905404364,0.1368810913307794,0.0948143173791072
rel_diff_fr_rr_mean,0.0214838131917261,0.0179894364840626,0.0158709053516447,0.0214838131917261,0.0179894364840626
rel_diff_fr_rr_std,0.0144460201170389,0.0133359916710684,0.0102992868734054,0.0144460201170389,0.0133359916710684
rel_diff_fr_rr_p2p,0.1792490481712588,0.1106167036089584,0.0775293564908352,0.1792490481712588,0.1106167036089584
rel_diff_fl_fr_std,0.0090801323321735,0.0079881179620196,0.0075531813374535,0.0090801323321735,0.0079881179620196
rel_diff_rl_rr_std,0.0125509611406815,0.0102569538591059,0.0108991931864618,0.0125509611406815,0.0102569538591059
norm_rolling_var_mean,0.0012852064155751,0.000140327170435,6.589467595308711e-05,0.0013655293256746,0.0001485555401825
norm_rolling_var_max,0.0099093271892258,0.0003528981660802,0.0003013292769824,0.0097464432653613,0.0003752567071205
norm_p2p,0.6518147206227594,0.1295795670847799,0.1340611789320692,0.6550737942258732,0.1295795670847799
norm_rms,1.017026951924371,1.011008582953297,1.011552007199051,0.9976335854675704,0.9875136088022743
norm_std,0.1292208726258028,0.027817783910896,0.030588645108172,0.1279633214868429,0.0283863671865742
norm_fft_peak_freq,0.0354733399492561,0.0344001687695702,0.0351611319291898,0.0354733399492561,0.0344001687695702
log_norm_fft_spectral_energy,6.242219310487804,6.238082869229506,6.239076969114629,6.203634707760788,6.191115517419903
fft_spectral_entropy,0.0927550023940225,0.0056717166566731,0.0066796040891713,0.0940244388094157,0.0061481814288529
norm_fft_spectral_centroid,0.0017057546132417,0.000130395513782,0.0001157677109859,0.0017068884895284,0.0001211681641717
fft_energy_low_band,0.0037226239492706,7.286007101542864e-05,9.107596053117748e-05,0.0037226108118623,7.748705352940924e-05
fft_energy_mid_band,8.695884134865066e-05,1.4585755793433524e-05,1.1175265275120644e-05,8.866874040141608e-05,1.3275332452097804e-05
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
