,t_0,t_1,t_2,t_3,t_4
speed_kph,40.0,40.0,40.0,40.0,40.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.9196578125,0.936384375,0.9397,0.937721875,0.9229859375
slip_ratio_fr,0.9496703125,0.967659375,0.9694734375,0.9676859375,0.9529890625
slip_ratio_rl,0.8928312500000001,0.90971875,0.9132328125,0.910428125,0.89683125
slip_ratio_rr,0.9324875,0.95095625,0.953525,0.9504765625,0.9374265625
slip_diff_front_rear,0.880187499999991,0.8673750000000027,0.8483125000000058,0.8900625000000062,0.8343437500000022
norm_yaw_rate,3.6050345,3.8827325,3.9093565,4.3474355,3.982079
norm_lat_accel,-8.940820000000002,-8.9573,-8.95884,-8.96382,-8.9671
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,37.933625,38.207,39.0645,32.1749375,36.0960625
peak,40.96875,39.28125,40.40625,36.625,36.9375
p2p,4.25,1.6875,3.71875,16.21875,2.125
rms,37.93732372281946,38.20848012058318,39.06683715921984,32.475207159895454,36.09866917236181
std,0.529741077673801,0.3363095672144936,0.4273235015769668,4.405959254148721,0.4338064219427255
variance,0.280625609375,0.113104125,0.182605375,19.412476949218757,0.18818801171875
crest_factor,1.0799061710132476,1.028076748303812,1.0342851619986866,1.1277834139647689,1.0232371676538266
shape_factor,1.000097505124265,1.0000387395132615,1.0000598282128232,1.0093324084901627,1.0000722148672534
clearance_factor,6.651820788700514,6.354974762438263,6.464834502355083,6.456821454819984,6.148052724281506
np4,1.00079170852559,1.0003116473392608,1.0004716957319146,1.0624845230916773,1.000572478828377
skew,1.0823600459265943,0.6459577405502127,-1.3226528656500305,-1.0587294203579996,-0.7395793166665884
kurt,1.874478107558783,-0.1119569556446631,4.548023424577434,0.0386508046709912,-0.1034449678132349
rel_diff_fl_rl_mean,0.0285340393074211,0.0280367905481495,0.0281015358770584,0.0304754481595747,0.0274964340928571
rel_diff_fl_rl_std,0.0060947121029476,0.0050773985588933,0.006339280380802,0.0059333999902651,0.0068367157511614
rel_diff_fl_rl_p2p,0.0770366574786484,0.0403358693894969,0.0714989068638966,0.0403685623455644,0.0569700645433968
rel_diff_fr_rr_mean,0.0178521871748322,0.0181629058538455,0.0171761741776487,0.0204002060411422,0.0174630003726847
rel_diff_fr_rr_std,0.0078945327665945,0.0060277544507128,0.0087170189774531,0.0064018639535223,0.0073828554864848
rel_diff_fr_rr_p2p,0.1219041612848942,0.0478988449000276,0.0977973553655598,0.0844923397930418,0.0745637609465046
rel_diff_fl_fr_std,0.008162301916193,0.0053047738729331,0.009205099592134,0.0083469256442048,0.0084660157800065
rel_diff_rl_rr_std,0.0049018888970178,0.0052882082212954,0.0052144238969625,0.0083429984588886,0.0053768794498504
norm_rolling_var_mean,5.459755642366623e-05,2.732604780489864e-05,6.884258018326718e-05,0.0003234266878129,2.5152486097603253e-05
norm_rolling_var_max,0.0002675547372763,5.502366871052615e-05,0.0002706051622691,0.0014507719886171,6.483992476320565e-05
norm_p2p,0.1151317078801778,0.045377853063184,0.0977973553655598,0.4872391594732079,0.0569700645433968
norm_rms,1.0277150288497394,1.027448175810023,1.0273972051546032,0.975611106916733,0.9677851824377324
norm_std,0.0143505870604401,0.009043559185068,0.0112379450997722,0.1323625978367398,0.0116301081681962
norm_fft_peak_freq,0.0184286634009323,0.0182931284046529,0.0178903132515862,0.0204367879757976,0.0182379321871735
log_norm_fft_spectral_energy,6.27107910140241,6.270619205110121,6.270499111792602,6.158098886171734,6.151179396041412
fft_spectral_entropy,0.001678966868033,0.0007422177888897,0.0011595997599507,0.0987436249361763,0.0012325544541782
norm_fft_spectral_centroid,6.0729576229639485e-05,2.4448461410958243e-05,6.586208562306688e-05,0.000817039995116,1.5415829420582177e-05
fft_energy_low_band,1.7356219518991964e-05,1.2901219098208586e-05,2.5181147915417065e-05,0.0013261159137938,9.5867271549323e-06
fft_energy_mid_band,8.995066823456576e-06,2.508893390766699e-06,7.687264983651662e-06,2.806164501779221e-05,9.50514341432272e-07
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
