,t_0,t_1,t_2,t_3,t_4
speed_kph,60.0,60.0,60.0,60.0,60.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.9137697916666668,0.9086020833333334,0.9051416666666668,0.89344375,0.8878416666666666
slip_ratio_fr,0.904103125,0.9042697916666668,0.9051260416666668,0.89385,0.888053125
slip_ratio_rl,0.89385,0.8895916666666667,0.8851197916666667,0.8743697916666666,0.8674416666666667
slip_ratio_rr,0.88604375,0.8870239583333334,0.88915625,0.8786031249999999,0.8721656249999999
slip_diff_front_rear,1.1393750000000011,1.0876875000000013,1.079749999999997,1.02962500000001,1.0886249999999933
norm_yaw_rate,2.576435666666667,2.517458666666667,2.675967333333333,2.4108536666666667,2.0755696666666665
norm_lat_accel,-8.95496,-8.95102,-8.954279999999999,-8.961020000000001,-8.938939999999999
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,56.57275,56.486625,56.7241875,54.652125,53.5243125
peak,57.03125,57.03125,57.28125,56.625,54.5625
p2p,0.875,0.9375,0.9375,4.75,1.8125
rms,56.57292258945529,56.48684100771834,56.72440751742697,54.661682870350326,53.52506245252662
std,0.1397417260520278,0.1562150460903174,0.1579894552454372,1.0221581106291726,0.2833406946041284
variance,0.0195277499999999,0.024403140625,0.02496066796875,1.044807203125,0.0802819492187499
crest_factor,1.008101533199385,1.009637802053885,1.009816629330187,1.0359176122386569,1.0193822762634517
shape_factor,1.0000030507524431,1.0000038240507083,1.0000038787232866,1.0001748856124135,1.000014011436889
clearance_factor,7.582444590174998,7.588222854574687,7.60551005245396,7.659575274077551,7.457937031470643
np4,1.0000244109742191,1.0000306288761849,1.0000310609626766,1.001388130951511,1.000112049533414
skew,0.085309236021145,0.4343717882111791,0.3642320695236022,-0.3926924981602259,-0.0643324984008718
kurt,-0.0557438494814093,0.2374276693819408,-0.016627580286574,-0.5981338132290368,0.1733664420113387
rel_diff_fl_rl_mean,0.0217974088037606,0.0215622412122299,0.0222650804427605,0.0226025223226732,0.0217343255889495
rel_diff_fl_rl_std,0.0050389717112506,0.005140271087905,0.0046586047680973,0.0051436247924407,0.0048294076119794
rel_diff_fl_rl_p2p,0.0277419548996597,0.0355922685851314,0.0333942812360171,0.0333187291884299,0.0301801145755548
rel_diff_fr_rr_mean,0.0199797559187349,0.0198782820047959,0.0174841325124707,0.0177221755829035,0.0196716308350741
rel_diff_fr_rr_std,0.003371573266655,0.0038980834199863,0.0036956758680151,0.0040321497801204,0.0033057991543491
rel_diff_fr_rr_p2p,0.0210838857237414,0.0244696846522778,0.0250457109270128,0.0361423503060935,0.0203135386566234
rel_diff_fl_fr_std,0.0036791480577646,0.0047076262586075,0.0032888563766771,0.0043745209311724,0.0041605916352106
rel_diff_rl_rr_std,0.0048729753868549,0.0061417820782811,0.0050577608361181,0.0049356850614833,0.0056384064171452
norm_rolling_var_mean,5.379251425381321e-06,6.2642228405838775e-06,6.913500085162463e-06,2.86937541961365e-05,1.5935364650450442e-05
norm_rolling_var_max,7.437695376058493e-06,8.790473973175878e-06,9.549520567649786e-06,5.965329219578639e-05,2.523187520729284e-05
norm_p2p,0.0155354947438094,0.0166838758992803,0.0166971406180085,0.0858380819769721,0.0336624354881188
norm_rms,1.0044438188919125,1.0052474083361649,1.010277769377815,0.9878008453103966,0.9940877030652188
norm_std,0.002481093543511,0.0027800239387426,0.002813836960422,0.0184715982512871,0.0052623105397353
norm_fft_peak_freq,2.053306286771968,2.0580805864717098,2.059716888798971,0.0122934612546875,0.0126344197886404
log_norm_fft_spectral_energy,6.2254537372477605,6.227049237345359,6.237012804407361,6.191933219083227,6.204756617903084
fft_spectral_entropy,6.259013170747602e-05,7.939170604339974e-05,7.976218485735855e-05,0.0026118733696061,0.000276045122127
norm_fft_spectral_centroid,4.290943595801705e-06,5.085824351676568e-06,5.576028077651508e-06,1.3556877817193726e-05,1.1049078886899316e-05
fft_energy_low_band,2.5772686669918213e-06,3.0992601381814228e-06,3.3666106582083684e-06,9.569230265599165e-06,8.105790022470285e-06
fft_energy_mid_band,1.2526942595326392e-08,2.8014399430236638e-08,1.264561614871228e-08,5.0105202108744514e-08,1.505260296941689e-07
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
