,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,12.0,12.0,12.0,12.0,12.0
slip_ratio_fl,1.077021875,1.031840625,0.998303125,0.997515625,1.0916281250000002
slip_ratio_fr,1.076240625,1.028353125,0.99741875,0.997753125,1.092671875
slip_ratio_rl,1.05194375,1.008325,0.97145625,0.972059375,1.0656656249999998
slip_ratio_rr,1.056403125,1.007953125,0.974828125,0.9769875,1.072421875
slip_diff_front_rear,0.4491562499999979,0.4391562499999963,0.4943750000000015,0.4622187499999981,0.4621250000000003
norm_yaw_rate,6.863755,7.299327000000001,5.993299,5.873625,5.267248
norm_lat_accel,-0.68656,-0.6830123076923077,-0.6758769230769232,-0.6780953846153847,-0.6835984615384615
sensor_1,1.0,0.0,0.0,0.0,0.0
sensor_2,0.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,24.1744375,20.033875,24.2164375,19.57825,23.673875
peak,26.34375,21.96875,26.0625,21.4375,25.84375
p2p,5.84375,7.25,5.5625,7.03125,5.875
rms,24.22376298925035,20.085103310662856,24.26575611683829,19.62920227699664,23.72469029697753
std,1.5450776414047127,1.4336064607747132,1.5463100369811835,1.4134033284062977,1.5519575290177885
variance,2.38726491796875,2.055227484375,2.3910747304687496,1.99770896875,2.408572171875
crest_factor,1.0875168326114495,1.093783271123985,1.074044421880385,1.092122832985551,1.0893187509087283
shape_factor,1.002040398633902,1.0025570844713196,1.0020365760586498,1.0026024939408087,1.002146471457568
clearance_factor,5.357959265770819,4.908206958888858,5.296158150784725,4.844926606010586,5.311544889026296
np4,1.015742676957307,1.01808055315493,1.01568048629189,1.018452803833132,1.0165378797731657
skew,-0.4641969185452648,-1.602445644875097,-0.4973617001823987,-1.5504803040072896,-0.4695376801849374
kurt,-1.0115979732650395,3.038783172380506,-0.9551401912066276,2.862551715282083,-0.9572588008245476
rel_diff_fl_rl_mean,0.0208794358959866,0.0248669517202836,0.0208794358959866,0.0248669517202836,0.0208794358959866
rel_diff_fl_rl_std,0.0111173716269704,0.0153748677984594,0.0111173716269704,0.0153748677984594,0.0111173716269704
rel_diff_fl_rl_p2p,0.110797356171736,0.1324051688960334,0.110797356171736,0.1324051688960334,0.110797356171736
rel_diff_fr_rr_mean,0.0160773481296728,0.0209452367177439,0.0160773481296728,0.0209452367177439,0.0160773481296728
rel_diff_fr_rr_std,0.0098496910498899,0.0160255345823141,0.0098496910498899,0.0160255345823141,0.0098496910498899
rel_diff_fr_rr_p2p,0.0821203933978749,0.1718114691627101,0.0821203933978749,0.1718114691627101,0.0821203933978749
rel_diff_fl_fr_std,0.0083547697352746,0.0076362185493397,0.0083547697352746,0.0076362185493397,0.0083547697352746
rel_diff_rl_rr_std,0.0096834410878534,0.0122037677636239,0.0096834410878534,0.0122037677636239,0.0096834410878534
norm_rolling_var_mean,0.0001475917193571,0.000507884714154,0.0001206246101517,0.0005797684405019,0.0001394207769606
norm_rolling_var_max,0.0005476405744709,0.0029452166250198,0.0003684817401118,0.0029657610609552,0.0004668642421944
norm_p2p,0.2437541835778192,0.365690466474759,0.2320226988066942,0.3546567024000896,0.2450576818857219
norm_rms,1.0104202901608237,1.0130939032924176,1.0121719052249651,0.9900982258210076,0.9896029970440844
norm_std,0.0644481949167826,0.0723112021216459,0.0644996005343376,0.0712921548250863,0.0647351684163731
norm_fft_peak_freq,0.0283758143609075,0.068626768555648,0.0283758143609075,0.034313384277824,0.0283758143609075
log_norm_fft_spectral_energy,6.235266504469486,6.240028088145199,6.238727629290216,6.194154677949904,6.193608779602811
fft_spectral_entropy,0.0254955880458868,0.0330617867821516,0.0253542798864926,0.0339227186334364,0.0266756377542955
norm_fft_spectral_centroid,0.0003036324998359,0.0005370754050864,0.000260400120899,0.0006223819997807,0.0002765625040757
fft_energy_low_band,0.0002845157249477,0.0007636850081529,0.0002867204141686,0.0008013712400292,0.0003164609398889
fft_energy_mid_band,2.3808625613299297e-05,3.146098903743199e-05,1.678028712778066e-05,4.220809500785317e-05,1.87627473817206e-05
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
