,t_0,t_1,t_2,t_3,t_4
speed_kph,40.0,40.0,40.0,40.0,40.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,1.01928125,0.995059375,0.9722640625,0.96024375,0.952803125
slip_ratio_fr,1.028878125,1.0117125,0.9961046875,0.9776453125,0.969571875
slip_ratio_rl,0.9964671875,0.970740625,0.9469765625,0.9360125,0.9291828125
slip_ratio_rr,1.0118359375,0.995296875,0.979390625,0.9612375,0.9528140625
slip_diff_front_rear,0.7971250000000012,0.8146874999999909,0.8400312499999956,0.8127812500000005,0.807562499999996
norm_yaw_rate,3.2185355,4.424874000000001,3.6597115,3.786136,3.7767524999999993
norm_lat_accel,-8.95918,-8.964919999999998,-8.966119999999998,-8.955680000000001,-8.95194
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,38.0774375,38.4980625,40.0276875,33.0819375,40.9958125
peak,38.8125,39.75,41.34375,41.125,42.6875
p2p,1.25,2.09375,2.5,24.3125,3.53125
rms,38.078035289184434,38.50012395982479,40.03120074645682,33.7884306371556,41.00537462390601
std,0.2133656907020198,0.3984076655496854,0.5303457414449088,6.8733875322121,0.8854973245124741
variance,0.04552491796875,0.15872866796875,0.28126660546875,47.243456167968745,0.7841055117187499
crest_factor,1.0192884087962433,1.0324642082056532,1.0327881559650531,1.2171325872346586,1.0410220706802986
shape_factor,1.0000156993018354,1.000053547105774,1.0000877704078412,1.0213558573211017,1.0002332463567103
clearance_factor,6.2898133874183,6.406453767382839,6.534759602407425,7.150072451981677,6.667007933895571
np4,1.0001259261497122,1.000429662940418,1.0006994905491309,1.1362582346246468,1.001864570185405
skew,0.4783908440904353,0.3047198202473075,-0.2678074413674273,-0.750513186392396,-0.0011150047793892
kurt,0.0084834847397354,-0.6269100128787541,-0.9070154142055612,-0.6422704410437188,-1.2332908893209624
rel_diff_fl_rl_mean,0.0247861301259117,0.0243822463754926,0.0243274084830398,0.028225313069144,0.0246924743805519
rel_diff_fl_rl_std,0.00436251376976,0.0042015706689228,0.0041781578385265,0.0058830063404539,0.0076929254691899
rel_diff_fl_rl_p2p,0.0242574842619951,0.0223386716029284,0.0246583070551345,0.0304191812959422,0.0700390039762185
rel_diff_fr_rr_mean,0.017636027523445,0.0179156146255485,0.0173483121571769,0.0201227493239521,0.0170269289240909
rel_diff_fr_rr_std,0.0050222003503205,0.0049607203157946,0.0054896088051317,0.0046887579648286,0.0083340919252616
rel_diff_fr_rr_p2p,0.0317856690329591,0.0322669700931188,0.0493166141102691,0.0239666276877121,0.0879213028637637
rel_diff_fl_fr_std,0.0049388949579363,0.005163250583365,0.0058296825406954,0.0062126564684268,0.0113903969301312
rel_diff_rl_rr_std,0.0045288670211395,0.0045428819037565,0.0046271661787461,0.007560515526101,0.0074213148755383
norm_rolling_var_mean,2.0757113647968275e-05,2.1951178823587503e-05,2.8716719149320858e-05,0.0005596020489737,2.5726190331838737e-05
norm_rolling_var_max,2.682158387497197e-05,3.426552652528428e-05,4.263667533317413e-05,0.0019500114487298,4.299753901845144e-05
norm_p2p,0.0334585989820622,0.0554329999035631,0.0636343407874441,0.7171552438861547,0.0841958239288585
norm_rms,1.0192301702125102,1.0193085935532589,1.018943628172248,0.9966704458249768,0.9776938200272628
norm_std,0.0057111336653836,0.0105480272649526,0.01349928065851,0.202746978385095,0.0211129704280715
norm_fft_peak_freq,1.0379117144441643,0.0180107324935093,0.0173156721478385,0.0200664889755784,0.0162199642502956
log_norm_fft_spectral_energy,6.254611570941128,6.254727383460562,6.253978355616657,6.1890848401520575,6.17134853349768
fft_spectral_entropy,0.0003155992918146,0.0009800638538768,0.0015071775191764,0.1980308768049447,0.0034153445251155
norm_fft_spectral_centroid,1.7345515165630394e-05,2.1729255328004475e-05,2.758865757653784e-05,0.0017694620019355,2.059591222303289e-05
fft_energy_low_band,8.924718455193085e-06,1.3993111099300003e-05,1.6003148279598502e-05,0.0028696358330221,1.4126813314897628e-05
fft_energy_mid_band,1.4423790454452616e-06,1.522022190757648e-06,2.068699226310851e-06,6.348403877277941e-05,7.586931926069215e-07
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
