,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
speed_kph,80.0,80.0,80.0,80.0,80.0,80.0,20.0,20.0,20.0,20.0
grade_pct,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,12.0
slip_ratio_fl,0.3156796875,0.496078125,0.658953125,0.76883203125,0.8645781250000001,0.93331640625,0.8785000000000001,1.0046875,0.79171875,1.027203125
slip_ratio_fr,0.31616015625,0.49600390625,0.65940625,0.76889453125,0.8644765624999999,0.93362109375,0.8786250000000001,1.00684375,0.781671875,1.014625
slip_ratio_rl,0.304078125,0.4793046875,0.63898828125,0.745671875,0.83971484375,0.9073828125,0.856609375,0.981890625,0.769484375,1.0055625
slip_ratio_rr,0.307046875,0.4799218749999999,0.64099609375,0.750015625,0.8444843750000001,0.91296875,0.85975,0.98809375,0.7596875,0.997171875
slip_diff_front_rear,0.8285937499999996,1.314218750000002,1.5349999999999966,1.6815624999999983,1.7942187499999989,1.8634375000000036,0.4076562499999987,0.4154687500000023,0.4421874999999993,0.3909374999999997
norm_yaw_rate,1.7508385,2.1214267500000004,1.61755875,1.80807,1.645082,1.5570289999999998,5.34709,6.824207000000001,7.013131,9.964674
norm_lat_accel,-8.663960000000001,-8.65632,-8.725340000000001,-8.77416,-8.8132,-8.840819999999999,-1.2615657142857142,-1.274805714285714,-0.67108,-0.6890600000000001
sensor_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sensor_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,49.6659375,75.9741875,76.854125,76.4324375,76.0809375,76.674375,19.838875,20.2561875,19.4556875,19.9659375
peak,72.3125,78.09375,77.53125,77.46875,76.53125,77.3125,21.46875,23.09375,22.0625,21.90625
p2p,53.96875,6.03125,1.21875,1.8125,0.875,1.4375,7.1875,4.0,12.5,2.96875
