session_id,state,interval_point,session_window_start_idx,exported_filename
abnormal_high speed 80kph,abnormal,mid,9,matrix_abnormal_high_speed_80kph_mid_45x5.csv
abnormal_hills 6 degrees,abnormal,mid,1,matrix_abnormal_hills_6_degrees_mid_45x5.csv
abnormal_hills 12 degrees,abnormal,mid,3,matrix_abnormal_hills_12_degrees_mid_45x5.csv
normal_high speed 60kph,normal,mid,15,matrix_normal_high_speed_60kph_mid_45x5.csv
normal_hills 30 degrees,normal,mid,1,matrix_normal_hills_30_degrees_mid_45x5.csv
normal_hills 6 degrees,normal,mid,1,matrix_normal_hills_6_degrees_mid_45x5.csv
normal_high speed 80kph,normal,mid,9,matrix_normal_high_speed_80kph_mid_45x5.csv
normal_hills 18 degrees,normal,mid,3,matrix_normal_hills_18_degrees_mid_45x5.csv
abnormal_steering pad,abnormal,mid,7,matrix_abnormal_steering_pad_mid_45x5.csv
abnormal_high speed 60kph,abnormal,mid,15,matrix_abnormal_high_speed_60kph_mid_45x5.csv
normal_hills 12 degrees,normal,mid,1,matrix_normal_hills_12_degrees_mid_45x5.csv
normal_high speed 20kph,normal,mid,49,matrix_normal_high_speed_20kph_mid_45x5.csv
abnormal_hills 30 degrees,abnormal,mid,1,matrix_abnormal_hills_30_degrees_mid_45x5.csv
abnormal_high speed 20kph,abnormal,mid,51,matrix_abnormal_high_speed_20kph_mid_45x5.csv
abnormal_hills 18 degrees,abnormal,mid,3,matrix_abnormal_hills_18_degrees_mid_45x5.csv
normal_steering pad,normal,mid,9,matrix_normal_steering_pad_mid_45x5.csv
