Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00288,0x316,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-7.8,20.0,84.0,0.0
0.00335,0x386,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-7.8,20.0,84.0,0.0
0.00658,0x2B0,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-7.8,20.0,84.0,0.0
0.00891,0x220,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-7.8,20.0,84.0,0.0
0.01299,0x316,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-7.8,20.0,84.0,0.0
0.01655,0x2B0,0.0,0.0,1.0,6.25,2.02,0.11,14.28125,14.34375,13.875,14.0,-8.0,20.0,84.0,0.0
0.01887,0x220,0.0,0.0,1.0,6.25,1.99,0.12,14.28125,14.34375,13.875,14.0,-8.0,20.0,84.0,0.0
0.02307,0x316,0.0,0.0,1.0,6.25,1.99,0.12,14.28125,14.34375,13.875,14.0,-8.0,20.0,84.0,0.0
0.02354,0x386,0.0,0.0,1.0,6.25,1.99,0.12,14.375,14.4375,14.03125,14.03125,-8.0,20.0,84.0,0.0
0.02657,0x2B0,0.0,0.0,1.0,6.25,1.99,0.12,14.375,14.4375,14.03125,14.03125,-8.3,24.0,84.0,0.0
0.02891,0x220,0.0,0.0,1.0,6.25,1.99,0.17,14.375,14.4375,14.03125,14.03125,-8.3,24.0,84.0,0.0
0.03304,0x316,0.0,0.0,1.0,6.25,1.99,0.17,14.375,14.4375,14.03125,14.03125,-8.3,24.0,84.0,0.0
0.03657,0x2B0,0.0,0.0,1.0,6.25,1.99,0.17,14.375,14.4375,14.03125,14.03125,-8.5,24.0,84.0,0.0
0.03887,0x220,0.0,0.0,1.0,6.25,2.02,0.18,14.375,14.4375,14.03125,14.03125,-8.5,24.0,84.0,0.0
0.04289,0x316,0.0,0.0,1.0,6.25,2.02,0.18,14.375,14.4375,14.03125,14.03125,-8.5,24.0,84.0,0.0
0.04336,0x386,0.0,0.0,1.0,6.25,2.02,0.18,14.46875,14.5,14.15625,14.21875,-8.5,24.0,84.0,0.0
0.04654,0x2B0,0.0,0.0,1.0,6.25,2.02,0.18,14.46875,14.5,14.15625,14.21875,-8.7,20.0,84.0,0.0
0.04891,0x220,0.0,0.0,1.0,6.25,1.99,0.12,14.46875,14.5,14.15625,14.21875,-8.7,20.0,84.0,0.0
0.05314,0x316,0.0,0.0,1.0,6.25,1.99,0.12,14.46875,14.5,14.15625,14.21875,-8.7,20.0,84.0,0.0
0.05654,0x2B0,0.0,0.0,1.0,6.25,1.99,0.12,14.46875,14.5,14.15625,14.21875,-8.7,8.0,84.0,0.0
0.05888,0x220,0.0,0.0,1.0,6.25,1.94,0.05,14.46875,14.5,14.15625,14.21875,-8.7,8.0,84.0,0.0
0.06286,0x316,0.0,0.0,1.0,6.25,1.94,0.05,14.46875,14.5,14.15625,14.21875,-8.7,8.0,84.0,0.0
0.06333,0x386,0.0,0.0,1.0,6.25,1.94,0.05,14.625,14.59375,14.21875,14.3125,-8.7,8.0,84.0,0.0
0.06655,0x2B0,0.0,0.0,1.0,6.25,1.94,0.05,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.06891,0x220,0.0,0.0,1.0,6.25,1.93,0.04,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.07306,0x316,0.0,0.0,1.0,6.25,1.93,0.04,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.07657,0x2B0,0.0,0.0,1.0,6.25,1.93,0.04,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.07887,0x220,0.0,0.0,1.0,6.25,1.91,0.06,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.08285,0x316,0.0,0.0,1.0,6.25,1.91,0.06,14.625,14.59375,14.21875,14.3125,-9.1,20.0,84.0,0.0
0.08332,0x386,0.0,0.0,1.0,6.25,1.91,0.06,14.6875,14.6875,14.34375,14.34375,-9.1,20.0,84.0,0.0
0.08656,0x2B0,0.0,0.0,1.0,6.25,1.91,0.06,14.6875,14.6875,14.34375,14.34375,-9.3,8.0,84.0,0.0
0.0889,0x220,0.0,0.0,1.0,6.25,1.87,0.09,14.6875,14.6875,14.34375,14.34375,-9.3,8.0,84.0,0.0
0.09297,0x316,0.0,0.0,1.0,6.25,1.87,0.09,14.6875,14.6875,14.34375,14.34375,-9.3,8.0,84.0,0.0
0.09658,0x2B0,0.0,0.0,1.0,6.25,1.87,0.09,14.6875,14.6875,14.34375,14.34375,-9.3,8.0,84.0,0.0
0.09888,0x220,0.0,0.0,1.0,6.25,1.84,0.08,14.6875,14.6875,14.34375,14.34375,-9.3,8.0,84.0,0.0
