time,data
0.00406,"[0, 94, 0, 128, 130, 19, 0, 0]"
0.01404,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.02118,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.031,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.03714,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.045,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.048,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.0521,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.05601,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.06007,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.06405,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.07505,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.08305,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.09205,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.09905,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.10801,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.11128,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.11709,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.12105,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.13101,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.1363,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.14208,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.14707,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.15401,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.15901,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.16601,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.17107,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.17701,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.18306,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.19208,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.19901,"[0, 94, 0, 128, 130, 19, 0, 0]"
0.21005,"[0, 94, 0, 128, 2, 17, 0, 0]"
0.21806,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.22706,"[0, 94, 0, 128, 130, 14, 0, 0]"
0.23406,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.24302,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.24828,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.25706,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.26107,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.27002,"[0, 94, 0, 128, 2, 14, 0, 0]"
0.2741,"[0, 94, 0, 128, 130, 14, 0, 0]"
0.28102,"[0, 94, 0, 128, 130, 14, 0, 0]"
0.28811,"[0, 94, 0, 128, 130, 14, 0, 0]"
0.29306,"[0, 94, 0, 128, 2, 15, 0, 0]"
0.30106,"[0, 94, 0, 128, 2, 15, 0, 0]"
0.31006,"[0, 94, 0, 128, 2, 15, 0, 0]"
0.31802,"[0, 94, 0, 128, 2, 15, 0, 0]"
0.32706,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.33606,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.34402,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.34906,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.35828,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.36606,"[0, 94, 0, 128, 130, 16, 0, 0]"
0.37202,"[0, 94, 0, 128, 2, 17, 0, 0]"
0.37706,"[0, 94, 0, 128, 2, 17, 0, 0]"
0.38208,"[0, 94, 0, 128, 2, 17, 0, 0]"
0.38515,"[0, 94, 0, 128, 2, 17, 0, 0]"
0.39106,"[0, 94, 0, 128, 130, 16, 0, 0]"
0.39902,"[0, 94, 0, 128, 130, 15, 0, 0]"
0.40902,"[0, 94, 0, 128, 130, 14, 0, 0]"
0.41702,"[0, 94, 0, 128, 2, 14, 0, 0]"
