Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00471,0x316,0.0,0.0,1.0,6.25,1.71,0.27,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.00633,0x220,0.0,0.0,1.0,6.25,1.71,0.27,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.00858,0x2B0,0.0,0.0,1.0,6.25,1.71,0.27,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.01466,0x316,0.0,0.0,1.0,6.25,1.71,0.27,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.01626,0x220,0.0,0.0,1.0,6.25,1.79,0.28,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.01649,0x386,0.0,0.0,1.0,6.25,1.79,0.28,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.01849,0x2B0,0.0,0.0,1.0,6.25,1.79,0.28,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.02467,0x316,0.0,0.0,1.0,6.25,1.79,0.28,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.02628,0x220,0.0,0.0,1.0,6.25,1.84,0.28,20.0625,20.1875,19.5625,19.90625,4.1,0.0,5.0,0.0
0.02853,0x2B0,0.0,0.0,1.0,6.25,1.84,0.28,20.0625,20.1875,19.5625,19.90625,4.2,0.0,5.0,0.0
0.03463,0x316,0.0,0.0,1.0,6.25,1.84,0.28,20.0625,20.1875,19.5625,19.90625,4.2,0.0,5.0,0.0
0.03625,0x220,0.0,0.0,1.0,6.25,1.85,0.23,20.0625,20.1875,19.5625,19.90625,4.2,0.0,5.0,0.0
0.03648,0x386,0.0,0.0,1.0,6.25,1.85,0.23,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.0385,0x2B0,0.0,0.0,1.0,6.25,1.85,0.23,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.04501,0x316,0.0,0.0,1.0,6.25,1.85,0.23,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.0464,0x220,0.0,0.0,1.0,6.25,1.82,0.17,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.04849,0x2B0,0.0,0.0,1.0,6.25,1.82,0.17,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.05466,0x316,0.0,0.0,1.0,6.25,1.82,0.17,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.05627,0x220,0.0,0.0,1.0,6.25,1.71,0.15,20.0625,20.1875,19.5,19.8125,4.2,0.0,5.0,0.0
0.0565,0x386,0.0,0.0,1.0,6.25,1.71,0.15,20.03125,20.0625,19.65625,19.75,4.2,0.0,5.0,0.0
0.0585,0x2B0,0.0,0.0,1.0,6.25,1.71,0.15,20.03125,20.0625,19.65625,19.75,4.2,0.0,5.0,0.0
0.06466,0x316,0.0,0.0,1.0,6.25,1.71,0.15,20.03125,20.0625,19.65625,19.75,4.2,0.0,5.0,0.0
0.0662,0x220,0.0,0.0,1.0,6.25,1.61,0.17,20.03125,20.0625,19.65625,19.75,4.2,0.0,5.0,0.0
