Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00665,0x220,0.0,0.0,1.0,6.25,0.56,0.08,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.00688,0x386,0.0,0.0,1.0,6.25,0.56,0.08,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.00826,0x2B0,0.0,0.0,1.0,6.25,0.56,0.08,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.01122,0x316,0.0,0.0,1.0,6.25,0.56,0.08,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.01665,0x220,0.0,0.0,1.0,6.25,0.61,0.07,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.01812,0x2B0,0.0,0.0,1.0,6.25,0.61,0.07,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.02116,0x316,0.0,0.0,1.0,6.25,0.61,0.07,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.02666,0x220,0.0,0.0,1.0,6.25,0.69,0.03,19.15625,19.0625,18.625,18.6875,-13.4,0.0,20.0,0.0
0.02688,0x386,0.0,0.0,1.0,6.25,0.69,0.03,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.02819,0x2B0,0.0,0.0,1.0,6.25,0.69,0.03,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.03112,0x316,0.0,0.0,1.0,6.25,0.69,0.03,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.03665,0x220,0.0,0.0,1.0,6.25,0.73,0.0,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.03812,0x2B0,0.0,0.0,1.0,6.25,0.73,0.0,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.04109,0x316,0.0,0.0,1.0,6.25,0.73,0.0,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.04665,0x220,0.0,0.0,1.0,6.25,0.76,0.04,19.15625,19.0625,18.65625,18.6875,-13.4,0.0,20.0,0.0
0.04688,0x386,0.0,0.0,1.0,6.25,0.76,0.04,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.04812,0x2B0,0.0,0.0,1.0,6.25,0.76,0.04,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.05113,0x316,0.0,0.0,1.0,6.25,0.76,0.04,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.05666,0x220,0.0,0.0,1.0,6.25,0.76,0.11,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.05817,0x2B0,0.0,0.0,1.0,6.25,0.76,0.11,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.06129,0x316,0.0,0.0,1.0,6.25,0.76,0.11,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.06665,0x220,0.0,0.0,1.0,6.25,0.76,0.13,19.15625,19.125,18.625,18.78125,-13.4,0.0,20.0,0.0
0.06688,0x386,0.0,0.0,1.0,6.25,0.76,0.13,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.06811,0x2B0,0.0,0.0,1.0,6.25,0.76,0.13,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.07125,0x316,0.0,0.0,1.0,6.25,0.76,0.13,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.07666,0x220,0.0,0.0,1.0,6.25,0.76,0.05,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.07811,0x2B0,0.0,0.0,1.0,6.25,0.76,0.05,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.08119,0x316,0.0,0.0,1.0,6.25,0.76,0.05,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.08665,0x220,0.0,0.0,1.0,6.25,0.74,0.0,19.15625,19.125,18.71875,18.78125,-13.4,0.0,20.0,0.0
0.08688,0x386,0.0,0.0,1.0,6.25,0.74,0.0,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.0881,0x2B0,0.0,0.0,1.0,6.25,0.74,0.0,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.09113,0x316,0.0,0.0,1.0,6.25,0.74,0.0,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.09665,0x220,0.0,0.0,1.0,6.25,0.7,-0.01,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.09811,0x2B0,0.0,0.0,1.0,6.25,0.7,-0.01,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.10136,0x316,0.0,0.0,1.0,6.25,0.7,-0.01,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.10666,0x220,0.0,0.0,1.0,6.25,0.65,0.0,19.15625,19.09375,18.8125,18.78125,-13.4,0.0,20.0,0.0
0.10689,0x386,0.0,0.0,1.0,6.25,0.65,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.10827,0x2B0,0.0,0.0,1.0,6.25,0.65,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.11114,0x316,0.0,0.0,1.0,6.25,0.65,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.11666,0x220,0.0,0.0,1.0,6.25,0.62,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.11811,0x2B0,0.0,0.0,1.0,6.25,0.62,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.1211,0x316,0.0,0.0,1.0,6.25,0.62,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.12666,0x220,0.0,0.0,1.0,6.25,0.67,0.0,19.15625,19.15625,18.78125,18.75,-13.4,0.0,20.0,0.0
0.12688,0x386,0.0,0.0,1.0,6.25,0.67,0.0,19.125,19.125,18.8125,18.8125,-13.4,0.0,20.0,0.0
0.1282,0x2B0,0.0,0.0,1.0,6.25,0.67,0.0,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.13122,0x316,0.0,0.0,1.0,6.25,0.67,0.0,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.13665,0x220,0.0,0.0,1.0,6.25,0.75,-0.02,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.13813,0x2B0,0.0,0.0,1.0,6.25,0.75,-0.02,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.14116,0x316,0.0,0.0,1.0,6.25,0.75,-0.02,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.14665,0x220,0.0,0.0,1.0,6.25,0.79,-0.06,19.125,19.125,18.8125,18.8125,-13.6,8.0,20.0,0.0
0.14687,0x386,0.0,0.0,1.0,6.25,0.79,-0.06,19.1875,19.09375,18.8125,18.78125,-13.6,8.0,20.0,0.0
0.14813,0x2B0,0.0,0.0,1.0,6.25,0.79,-0.06,19.1875,19.09375,18.8125,18.78125,-13.6,0.0,20.0,0.0
0.15112,0x316,0.0,0.0,1.0,6.25,0.79,-0.06,19.1875,19.09375,18.8125,18.78125,-13.6,0.0,20.0,0.0
0.15666,0x220,0.0,0.0,1.0,6.25,0.75,-0.12,19.1875,19.09375,18.8125,18.78125,-13.6,0.0,20.0,0.0
0.15817,0x2B0,0.0,0.0,1.0,6.25,0.75,-0.12,19.1875,19.09375,18.8125,18.78125,-13.7,0.0,20.0,0.0
0.16113,0x316,0.0,0.0,1.0,6.25,0.75,-0.12,19.1875,19.09375,18.8125,18.78125,-13.7,0.0,20.0,0.0
0.16665,0x220,0.0,0.0,1.0,6.25,0.66,-0.13,19.1875,19.09375,18.8125,18.78125,-13.7,0.0,20.0,0.0
0.16687,0x386,0.0,0.0,1.0,6.25,0.66,-0.13,19.15625,19.09375,18.84375,18.90625,-13.7,0.0,20.0,0.0
0.16812,0x2B0,0.0,0.0,1.0,6.25,0.66,-0.13,19.15625,19.09375,18.84375,18.90625,-13.7,0.0,20.0,0.0
0.17143,0x316,0.0,0.0,1.0,6.25,0.66,-0.13,19.15625,19.09375,18.84375,18.90625,-13.7,0.0,20.0,0.0
0.17666,0x220,0.0,0.0,1.0,6.25,0.53,-0.07,19.15625,19.09375,18.84375,18.90625,-13.7,0.0,20.0,0.0
0.17814,0x2B0,0.0,0.0,1.0,6.25,0.53,-0.07,19.15625,19.09375,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.18131,0x316,0.0,0.0,1.0,6.25,0.53,-0.07,19.15625,19.09375,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.18666,0x220,0.0,0.0,1.0,6.25,0.42,0.0,19.15625,19.09375,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.18688,0x386,0.0,0.0,1.0,6.25,0.42,0.0,19.125,19.15625,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.18811,0x2B0,0.0,0.0,1.0,6.25,0.42,0.0,19.125,19.15625,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.19112,0x316,0.0,0.0,1.0,6.25,0.42,0.0,19.125,19.15625,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.19666,0x220,0.0,0.0,1.0,6.25,0.38,0.0,19.125,19.15625,18.84375,18.90625,-13.8,0.0,20.0,0.0
0.19811,0x2B0,0.0,0.0,1.0,6.25,0.38,0.0,19.125,19.15625,18.84375,18.90625,-14.0,8.0,20.0,0.0
0.20129,0x316,0.0,0.0,1.0,6.25,0.38,0.0,19.125,19.15625,18.84375,18.90625,-14.0,8.0,20.0,0.0
0.20665,0x220,0.0,0.0,1.0,6.25,0.44,-0.02,19.125,19.15625,18.84375,18.90625,-14.0,8.0,20.0,0.0
0.20688,0x386,0.0,0.0,1.0,6.25,0.44,-0.02,19.09375,19.15625,18.78125,18.84375,-14.0,8.0,20.0,0.0
