Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00337,0x316,0.0,0.0,1.0,6.25,2.74,0.22,9.34375,9.40625,9.03125,9.21875,23.7,12.0,66.0,0.0
0.00476,0x220,0.0,0.0,1.0,6.25,2.74,0.22,9.34375,9.40625,9.03125,9.21875,23.7,12.0,66.0,0.0
0.00666,0x2B0,0.0,0.0,1.0,6.25,2.74,0.22,9.34375,9.40625,9.03125,9.21875,23.7,12.0,66.0,0.0
0.01333,0x316,0.0,0.0,1.0,6.25,2.74,0.22,9.34375,9.40625,9.03125,9.21875,23.7,12.0,66.0,0.0
0.01468,0x220,0.0,0.0,1.0,6.25,2.74,0.27,9.34375,9.40625,9.03125,9.21875,23.7,12.0,66.0,0.0
0.01642,0x2B0,0.0,0.0,1.0,6.25,2.74,0.27,9.34375,9.40625,9.03125,9.21875,23.5,20.0,66.0,0.0
0.01886,0x386,0.0,0.0,1.0,6.25,2.74,0.27,9.34375,9.40625,9.03125,9.21875,23.5,20.0,66.0,0.0
0.02312,0x316,0.0,0.0,1.0,6.25,2.74,0.27,9.34375,9.40625,9.03125,9.21875,23.5,20.0,66.0,0.0
0.02473,0x220,0.0,0.0,1.0,6.25,2.73,0.31,9.34375,9.40625,9.03125,9.21875,23.5,20.0,66.0,0.0
0.02667,0x2B0,0.0,0.0,1.0,6.25,2.73,0.31,9.34375,9.40625,9.03125,9.21875,23.5,8.0,66.0,0.0
0.03312,0x316,0.0,0.0,1.0,6.25,2.73,0.31,9.34375,9.40625,9.03125,9.21875,23.5,8.0,66.0,0.0
0.03473,0x220,0.0,0.0,1.0,6.25,2.72,0.3,9.34375,9.40625,9.03125,9.21875,23.5,8.0,66.0,0.0
0.03643,0x2B0,0.0,0.0,1.0,6.25,2.72,0.3,9.34375,9.40625,9.03125,9.21875,23.3,8.0,66.0,0.0
0.03886,0x386,0.0,0.0,1.0,6.25,2.72,0.3,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.04319,0x316,0.0,0.0,1.0,6.25,2.72,0.3,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.04457,0x220,0.0,0.0,1.0,6.25,2.69,0.28,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.04642,0x2B0,0.0,0.0,1.0,6.25,2.69,0.28,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.05306,0x316,0.0,0.0,1.0,6.25,2.69,0.28,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.05468,0x220,0.0,0.0,1.0,6.25,2.66,0.28,9.4375,9.46875,9.09375,9.25,23.3,8.0,66.0,0.0
0.05668,0x2B0,0.0,0.0,1.0,6.25,2.66,0.28,9.4375,9.46875,9.09375,9.25,23.1,8.0,66.0,0.0
0.05905,0x386,0.0,0.0,1.0,6.25,2.66,0.28,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.0633,0x316,0.0,0.0,1.0,6.25,2.66,0.28,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.06468,0x220,0.0,0.0,1.0,6.25,2.6,0.26,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.06643,0x2B0,0.0,0.0,1.0,6.25,2.6,0.26,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.07307,0x316,0.0,0.0,1.0,6.25,2.6,0.26,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.07468,0x220,0.0,0.0,1.0,6.25,2.57,0.26,9.5,9.5625,9.21875,9.28125,23.1,8.0,66.0,0.0
0.07643,0x2B0,0.0,0.0,1.0,6.25,2.57,0.26,9.5,9.5625,9.21875,9.28125,23.0,0.0,66.0,0.0
0.07903,0x386,0.0,0.0,1.0,6.25,2.57,0.26,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.08316,0x316,0.0,0.0,1.0,6.25,2.57,0.26,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.08456,0x220,0.0,0.0,1.0,6.25,2.54,0.28,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.08643,0x2B0,0.0,0.0,1.0,6.25,2.54,0.28,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.09306,0x316,0.0,0.0,1.0,6.25,2.54,0.28,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.09467,0x220,0.0,0.0,1.0,6.25,2.53,0.3,9.59375,9.65625,9.3125,9.40625,23.0,0.0,66.0,0.0
0.09643,0x2B0,0.0,0.0,1.0,6.25,2.53,0.3,9.59375,9.65625,9.3125,9.40625,22.9,0.0,66.0,0.0
0.09884,0x386,0.0,0.0,1.0,6.25,2.53,0.3,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.10333,0x316,0.0,0.0,1.0,6.25,2.53,0.3,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.1047,0x220,0.0,0.0,1.0,6.25,2.51,0.28,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.10643,0x2B0,0.0,0.0,1.0,6.25,2.51,0.28,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.1133,0x316,0.0,0.0,1.0,6.25,2.51,0.28,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.11465,0x220,0.0,0.0,1.0,6.25,2.47,0.28,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.11643,0x2B0,0.0,0.0,1.0,6.25,2.47,0.28,9.65625,9.75,9.40625,9.4375,22.9,0.0,66.0,0.0
0.11888,0x386,0.0,0.0,1.0,6.25,2.47,0.28,9.71875,9.8125,9.4375,9.53125,22.9,0.0,66.0,0.0
0.12316,0x316,0.0,0.0,1.0,6.25,2.47,0.28,9.71875,9.8125,9.4375,9.53125,22.9,0.0,66.0,0.0
0.12456,0x220,0.0,0.0,1.0,6.25,2.45,0.32,9.71875,9.8125,9.4375,9.53125,22.9,0.0,66.0,0.0
0.12643,0x2B0,0.0,0.0,1.0,6.25,2.45,0.32,9.71875,9.8125,9.4375,9.53125,22.7,8.0,66.0,0.0
0.13305,0x316,0.0,0.0,1.0,6.25,2.45,0.32,9.71875,9.8125,9.4375,9.53125,22.7,8.0,66.0,0.0
0.13465,0x220,0.0,0.0,1.0,6.25,2.44,0.36,9.71875,9.8125,9.4375,9.53125,22.7,8.0,66.0,0.0
0.13645,0x2B0,0.0,0.0,1.0,6.25,2.44,0.36,9.71875,9.8125,9.4375,9.53125,22.7,8.0,66.0,0.0
0.13884,0x386,0.0,0.0,1.0,6.25,2.44,0.36,9.78125,9.90625,9.53125,9.59375,22.7,8.0,66.0,0.0
0.14313,0x316,0.0,0.0,1.0,6.25,2.44,0.36,9.78125,9.90625,9.53125,9.59375,22.7,8.0,66.0,0.0
0.14455,0x220,0.0,0.0,1.0,6.25,2.42,0.39,9.78125,9.90625,9.53125,9.59375,22.7,8.0,66.0,0.0
0.14639,0x2B0,0.0,0.0,1.0,6.25,2.42,0.39,9.78125,9.90625,9.53125,9.59375,22.7,0.0,66.0,0.0
0.15311,0x316,0.0,0.0,1.0,6.25,2.42,0.39,9.78125,9.90625,9.53125,9.59375,22.7,0.0,66.0,0.0
0.15452,0x220,0.0,0.0,1.0,6.25,2.4,0.4,9.78125,9.90625,9.53125,9.59375,22.7,0.0,66.0,0.0
0.1564,0x2B0,0.0,0.0,1.0,6.25,2.4,0.4,9.78125,9.90625,9.53125,9.59375,22.6,0.0,66.0,0.0
