Time,CAN_ID,TCS_CTL,ABS_ACT,ESP_CTL,TQI_TCS,Yaw_Rate,Lateral_Accel,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,SAS_Angle,SAS_Speed,Accel_Pedal_Pos,Brake_Pedal_Pos
0.00432,0x220,0.0,0.0,1.0,6.25,3.94,0.37,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.00814,0x2B0,0.0,0.0,1.0,6.25,3.94,0.37,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.00899,0x316,0.0,0.0,1.0,6.25,3.94,0.37,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.01433,0x220,0.0,0.0,1.0,6.25,3.97,0.36,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.01814,0x2B0,0.0,0.0,1.0,6.25,3.97,0.36,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.01854,0x386,0.0,0.0,1.0,6.25,3.97,0.36,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.01901,0x316,0.0,0.0,1.0,6.25,3.97,0.36,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.02433,0x220,0.0,0.0,1.0,6.25,3.99,0.28,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.02813,0x2B0,0.0,0.0,1.0,6.25,3.99,0.28,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.0289,0x316,0.0,0.0,1.0,6.25,3.99,0.28,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.03433,0x220,0.0,0.0,1.0,6.25,4.04,0.17,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.03814,0x2B0,0.0,0.0,1.0,6.25,4.04,0.17,19.8125,20.0,19.375,19.6875,21.5,0.0,38.0,0.0
0.03854,0x386,0.0,0.0,1.0,6.25,4.04,0.17,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.03919,0x316,0.0,0.0,1.0,6.25,4.04,0.17,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.04433,0x220,0.0,0.0,1.0,6.25,4.1,0.13,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.04814,0x2B0,0.0,0.0,1.0,6.25,4.1,0.13,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.04915,0x316,0.0,0.0,1.0,6.25,4.1,0.13,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.05433,0x220,0.0,0.0,1.0,6.25,4.1,0.17,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.05813,0x2B0,0.0,0.0,1.0,6.25,4.1,0.17,19.875,20.0,19.28125,19.625,21.5,0.0,38.0,0.0
0.05854,0x386,0.0,0.0,1.0,6.25,4.1,0.17,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.05901,0x316,0.0,0.0,1.0,6.25,4.1,0.17,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.06434,0x220,0.0,0.0,1.0,6.25,4.05,0.18,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.06814,0x2B0,0.0,0.0,1.0,6.25,4.05,0.18,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.06901,0x316,0.0,0.0,1.0,6.25,4.05,0.18,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.07434,0x220,0.0,0.0,1.0,6.25,4.02,0.11,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.07813,0x2B0,0.0,0.0,1.0,6.25,4.02,0.11,19.875,20.03125,19.3125,19.59375,21.5,0.0,38.0,0.0
0.07854,0x386,0.0,0.0,1.0,6.25,4.02,0.11,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.07902,0x316,0.0,0.0,1.0,6.25,4.02,0.11,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.08434,0x220,0.0,0.0,1.0,6.25,3.98,0.05,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.08813,0x2B0,0.0,0.0,1.0,6.25,3.98,0.05,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.08896,0x316,0.0,0.0,1.0,6.25,3.98,0.05,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.09434,0x220,0.0,0.0,1.0,6.25,3.9,0.07,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.09813,0x2B0,0.0,0.0,1.0,6.25,3.9,0.07,19.875,20.0,19.3125,19.6875,21.5,0.0,38.0,0.0
0.09854,0x386,0.0,0.0,1.0,6.25,3.9,0.07,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.09901,0x316,0.0,0.0,1.0,6.25,3.9,0.07,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.10435,0x220,0.0,0.0,1.0,6.25,3.85,0.13,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.10813,0x2B0,0.0,0.0,1.0,6.25,3.85,0.13,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.10888,0x316,0.0,0.0,1.0,6.25,3.85,0.13,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.11435,0x220,0.0,0.0,1.0,6.25,3.87,0.17,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.11813,0x2B0,0.0,0.0,1.0,6.25,3.87,0.17,19.84375,20.0625,19.28125,19.6875,21.5,0.0,38.0,0.0
0.11854,0x386,0.0,0.0,1.0,6.25,3.87,0.17,19.84375,19.96875,19.28125,19.71875,21.5,0.0,38.0,0.0
0.11901,0x316,0.0,0.0,1.0,6.25,3.87,0.17,19.84375,19.96875,19.28125,19.71875,21.5,0.0,38.0,0.0
0.12435,0x220,0.0,0.0,1.0,6.25,3.9,0.17,19.84375,19.96875,19.28125,19.71875,21.5,0.0,38.0,0.0
0.12813,0x2B0,0.0,0.0,1.0,6.25,3.9,0.17,19.84375,19.96875,19.28125,19.71875,21.5,0.0,38.0,0.0
0.12896,0x316,0.0,0.0,1.0,6.25,3.9,0.17,19.84375,19.96875,19.28125,19.71875,21.5,0.0,35.0,0.0
0.13436,0x220,0.0,0.0,1.0,6.25,3.91,0.2,19.84375,19.96875,19.28125,19.71875,21.5,0.0,35.0,0.0
0.13813,0x2B0,0.0,0.0,1.0,6.25,3.91,0.2,19.84375,19.96875,19.28125,19.71875,21.5,0.0,35.0,0.0
