session_id,state,can_windows_cnt,can_duration_sec,audio_duration_sec,diff_duration_sec,match_status
abnormal_high speed 80kph,abnormal,24,35.28,68.693,33.413,MATCHED (Audio >= CAN)
abnormal_hills 6 degrees,abnormal,8,11.76,26.536,14.776,MATCHED (Audio >= CAN)
abnormal_hills 12 degrees,abnormal,12,17.64,40.243,22.603,MATCHED (Audio >= CAN)
normal_high speed 60kph,normal,36,52.92,90.223,37.303,MATCHED (Audio >= CAN)
normal_hills 30 degrees,normal,8,11.76,29.14,17.38,MATCHED (Audio >= CAN)
normal_hills 6 degrees,normal,8,11.76,25.635,13.875,MATCHED (Audio >= CAN)
normal_high speed 80kph,normal,24,35.28,65.189,29.909,MATCHED (Audio >= CAN)
normal_hills 18 degrees,normal,12,17.64,29.34,11.7,MATCHED (Audio >= CAN)
abnormal_steering pad,abnormal,20,29.4,60.282,30.882,MATCHED (Audio >= CAN)
abnormal_high speed 60kph,abnormal,36,52.92,90.623,37.703,MATCHED (Audio >= CAN)
normal_hills 12 degrees,normal,8,11.76,25.134,13.374,MATCHED (Audio >= CAN)
normal_high speed 20kph,normal,104,152.88,263.558,110.678,MATCHED (Audio >= CAN)
abnormal_hills 30 degrees,abnormal,8,11.76,28.939,17.179,MATCHED (Audio >= CAN)
abnormal_high speed 20kph,abnormal,108,158.76,270.067,111.307,MATCHED (Audio >= CAN)
abnormal_hills 18 degrees,abnormal,12,17.64,35.849,18.209,MATCHED (Audio >= CAN)
normal_steering pad,normal,24,35.28,60.482,25.202,MATCHED (Audio >= CAN)
