CAN_Row_Idx,CAN_Time_sec,CAN_Delta_ms,WHL_SPD_FL_kph,Audio_Sample_Start,Audio_Sample_End,Audio_Sample_Count,Audio_RMS_Energy,Audio_Peak_Amplitude
0,0.0,1.39,9.34375,0,61,61,2e-06,4e-06
1,0.00139,1.9,9.34375,61,145,84,0.0,0.0
2,0.00329,6.67,9.34375,145,439,294,0.0,0.0
3,0.00996,1.35,9.34375,439,499,60,2e-06,4e-06
4,0.01131,1.74,9.34375,499,576,77,2e-06,4e-06
5,0.01305,2.44,9.34375,576,683,107,1e-06,3e-06
6,0.01549,4.26,9.34375,683,871,188,0.0,1e-06
7,0.01975,1.61,9.34375,871,942,71,0.0,0.0
8,0.02136,1.94,9.34375,942,1028,86,0.0,1e-06
9,0.0233,6.45,9.34375,1028,1312,284,0.0,1e-06
10,0.02975,1.61,9.34375,1312,1383,71,0.0,1e-06
11,0.03136,1.7,9.34375,1383,1458,75,0.0,1e-06
