scenario,state,can_launch_trim_sec,audio_launch_trim_sec,raw_launch_delta_ms,drive_duration_sec,mean_dynamic_lag_ms,max_jitter_ms,clock_drift_rate_ms_per_sec,end_drive_drift_ms
normal_high_speed_20kph,normal,0.91,0.08,-830.0,261.9,3.16,247.16,-0.012,1.59
normal_high_speed_60kph,normal,0.06,0.065,5.0,90.16,21.2,265.2,0.8682,60.41
normal_high_speed_80kph,normal,18.96,0.095,-18865.0,46.32,-24.72,219.28,-1.3326,-55.99
normal_hills_6deg,normal,0.065,0.13,65.0,25.36,69.25,285.25,-0.2116,66.53
normal_hills_12deg,normal,0.014,0.055,41.0,25.08,31.75,216.25,6.1567,109.17
normal_hills_18deg,normal,5.885,0.07,-5815.0,25.91,-53.09,245.09,5.8053,22.66
normal_hills_30deg,normal,0.952,0.065,-887.0,29.04,-21.62,125.62,1.5877,1.8
normal_steering_pad_40kph,normal,1.403,0.075,-1328.0,60.41,-8.64,244.64,0.7047,12.78
abnormal_high_speed_20kph,abnormal,0.28,0.18,-100.0,269.89,4.2,231.8,-0.006,3.39
abnormal_high_speed_60kph,abnormal,1.125,0.145,-980.0,89.53,16.89,264.89,1.1926,70.42
abnormal_high_speed_80kph,abnormal,0.191,0.12,-71.0,68.27,-5.43,245.43,-0.479,-21.88
abnormal_hills_6deg,abnormal,0.0,1.177,1177.0,25.36,4.25,239.75,1.7423,26.66
abnormal_hills_12deg,abnormal,8.84,0.115,-8725.0,23.03,-4.83,252.83,-0.2414,-7.63
abnormal_hills_18deg,abnormal,4.132,0.07,-4062.0,35.15,11.83,236.17,0.1712,14.85
abnormal_hills_30deg,abnormal,3.355,0.1,-3255.0,25.07,-44.38,280.38,-8.1984,-147.38
abnormal_steering_pad_40kph,abnormal,0.016,0.175,159.0,59.86,0.15,248.15,0.3295,10.11
