,t_0,t_1,t_2,t_3,t_4
speed_kph,60.0,60.0,60.0,60.0,60.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.954615625,0.953496875,0.9526739583333332,0.9521989583333332,0.9520239583333332
slip_ratio_fr,0.9430614583333334,0.9421822916666668,0.941615625,0.9406989583333334,0.9398541666666668
slip_ratio_rl,0.9342010416666666,0.9331229166666668,0.9321625,0.9315604166666668,0.9312541666666668
slip_ratio_rr,0.9229885416666668,0.9218322916666666,0.922021875,0.9209260416666668,0.9197166666666666
slip_diff_front_rear,1.214624999999998,1.2217187499999935,1.2031562500000064,1.2123437499999952,1.2272187499999987
norm_yaw_rate,2.450781333333333,2.0758283333333334,2.332568333333333,2.4165183333333338,2.433231333333333
norm_lat_accel,-8.954800000000002,-8.954720000000002,-8.95306,-8.95494,-8.95294
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,56.7246875,56.5420625,56.3870625,30.49,55.040375
peak,57.625,57.1875,57.40625,49.46875,57.6875
p2p,2.03125,1.0625,1.8125,38.5625,8.28125
rms,56.72540035047681,56.54250639383503,56.38752308592412,32.35769970916891,55.06461697831693
std,0.2843816963497299,0.2240480818234113,0.2279087245340774,10.83423418930706,1.6337572733196934
variance,0.0808729492187499,0.05019754296875,0.05194238671875,117.38063046875,2.669162828125
crest_factor,1.0158588506024644,1.011407234084609,1.018066530649405,1.5288092307124812,1.0476328205954086
shape_factor,1.000012566847139,1.0000078506834629,1.0000081682908046,1.061256140018659,1.0004404399191855
clearance_factor,7.651117690569858,7.605281407126029,7.644858347780576,8.958849158280133,7.775727391364902
np4,1.0001009008040418,1.0000629940903996,1.0000655080748164,1.4129042114188464,1.003371125884526
skew,0.7309733312143637,0.763282510367537,0.6169539911641128,0.0246674776924812,-1.4384856562010833
kurt,1.2316713272831157,-0.3859504644922973,0.5134718906559859,-1.104793559867702,2.193555826913519
rel_diff_fl_rl_mean,0.0224203452791049,0.0219915775769066,0.0220881386684211,0.0290019147194824,0.0242184919022
rel_diff_fl_rl_std,0.0042395452524194,0.0046299444826792,0.0053197409025749,0.0111977767875725,0.004932394450422
rel_diff_fl_rl_p2p,0.0228165745741486,0.026111664968538,0.0317454337897127,0.0474085278177404,0.0358410831462055
rel_diff_fr_rr_mean,0.0179304886043675,0.0208126636819441,0.0215211763596856,0.0243155313100947,0.0190461755906632
rel_diff_fr_rr_std,0.0052045149764449,0.004357878004015,0.0047671318623857,0.0104222234463045,0.0049923208049336
rel_diff_fr_rr_p2p,0.0372856218650722,0.0222226935902451,0.030074621484991,0.0443824515740549,0.043681320084438
rel_diff_fl_fr_std,0.0055955004569326,0.0049326584945185,0.0046381582390542,0.0038086775787563,0.0049930028608651
rel_diff_rl_rr_std,0.004900381478456,0.0053040993594454,0.005200997025469,0.0049763825616413,0.0044724403123881
norm_rolling_var_mean,2.40174242336069e-05,1.5258196939968016e-05,1.4401187940954855e-05,0.0013113607757426,7.313430009256951e-05
norm_rolling_var_max,4.720436123580452e-05,2.0602856578521584e-05,2.274036963111147e-05,0.0022470689398943,0.0002661723908206
norm_p2p,0.0361726182273088,0.0188892895517083,0.0323023712246199,1.2447260282359949,0.1484044849022573
norm_rms,1.0101692310986092,1.0052214355317386,1.0049383189839174,1.044446574829091,0.9867877577669094
norm_std,0.0050642858008089,0.003983161497475,0.0040617888139196,0.3497089994537387,0.0292778151368845
norm_fft_peak_freq,1.0297297793636844,1.0280006544584426,1.030535826816932,0.0219581846562754,0.0243819764120829
log_norm_fft_spectral_energy,6.236789696774925,6.2269936425610215,6.226431067453221,6.245837177558041,6.189620323238652
fft_spectral_entropy,0.0002526365738086,0.0001539599998207,0.0001658344666659,0.4700043924043574,0.0067189000326344
norm_fft_spectral_centroid,1.894664112376725e-05,1.0099950655139654e-05,1.037182913908712e-05,0.0055048843250833,3.748017980033524e-05
fft_energy_low_band,1.1723427441634172e-05,7.467387180896881e-06,7.447544074117803e-06,0.008255236605666,4.594715845334536e-05
fft_energy_mid_band,1.7909449871641637e-07,4.370358306295776e-09,6.773452289916508e-09,0.0002103712031573,6.070761979123244e-08
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
