,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,30.0,30.0,30.0,30.0,30.0
slip_ratio_fl,1.02383125,0.964115625,0.8753500000000001,0.813996875,0.8846437500000001
slip_ratio_fr,1.025646875,0.96465625,0.874871875,0.8143593750000001,0.8833249999999999
slip_ratio_rl,0.999675,0.936078125,0.84130625,0.783484375,0.863425
slip_ratio_rr,1.0062375,0.940978125,0.8455656250000001,0.7884187500000001,0.86681875
slip_diff_front_rear,0.4356562499999974,0.5171562499999993,0.6335000000000015,0.5645312500000017,0.3772500000000001
norm_yaw_rate,6.726934,7.332997000000001,7.820480000000001,6.484643,5.464927
norm_lat_accel,-0.2879361290322581,-0.2835329032258064,-0.2777535483870967,-0.279261935483871,-0.2865870967741935
sensor_1,1.0,0.0,0.0,0.0,0.0
sensor_2,0.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,17.6126875,18.7658125,17.6313125,18.1720625,17.2793125
peak,19.4375,21.0625,19.59375,20.6875,19.4375
p2p,3.46875,5.46875,3.5625,6.09375,3.90625
rms,17.633945258807653,18.84056995347739,17.653054965341692,18.25364395341722,17.30088029507097
std,0.865600611118517,1.676710287055802,0.8758819193925345,1.7238509431556863,0.8636078460266268
variance,0.7492644179687501,2.8113573867187496,0.7671691367187502,2.9716620742187496,0.7458185117187498
crest_factor,1.1022774379029856,1.1179332712337882,1.109935364641898,1.1333353522613847,1.1234977451140304
shape_factor,1.0012069571328994,1.003983704594586,1.0012331733863655,1.004489388775612,1.0012481859490052
clearance_factor,4.631563168159584,4.862126253420013,4.66632776969796,4.852950932001613,4.676028794790189
np4,1.0095797958739194,1.0304912866202425,1.0098252478617151,1.0342953363726788,1.0099655014323212
skew,-0.0909310532448166,-0.3469890538995716,-0.0127843934363089,-0.3294139568914066,0.0280067439048392
kurt,-0.6592780507019214,-1.419716890325904,-0.5876197055365471,-1.4509580607157349,-0.4543350362731986
rel_diff_fl_rl_mean,0.0190758436805062,0.0302016208293305,0.0190758436805062,0.0302016208293305,0.0190758436805062
rel_diff_fl_rl_std,0.0164654078173576,0.0158622145668915,0.0164654078173576,0.0158622145668915,0.0164654078173576
rel_diff_fl_rl_p2p,0.128745851611966,0.1081526260674326,0.128745851611966,0.1081526260674326,0.128745851611966
rel_diff_fr_rr_mean,0.0142764844343046,0.0251319664824196,0.0142764844343046,0.0251319664824196,0.0142764844343046
rel_diff_fr_rr_std,0.01697993340322,0.0155042315828785,0.01697993340322,0.0155042315828785,0.01697993340322
rel_diff_fr_rr_p2p,0.1162288938163582,0.1166020499789508,0.1162288938163582,0.1166020499789508,0.1162288938163582
rel_diff_fl_fr_std,0.0086351984171762,0.0082433847604251,0.0086351984171762,0.0082433847604251,0.0086351984171762
rel_diff_rl_rr_std,0.0153064512472004,0.0133596711972441,0.0153064512472004,0.0133596711972441,0.0153064512472004
norm_rolling_var_mean,0.0002591001817925,0.0002463425945916,0.0002694750303214,0.0003199541249489,0.000357382217794
norm_rolling_var_max,0.0012363350088493,0.0008549560974631,0.0011485193236788,0.0012283634940812,0.0016462400207005
norm_p2p,0.1984831879017809,0.2957298369031361,0.2038475983856128,0.3295275325492088,0.2235171034929965
norm_rms,1.009021022055103,1.0188285585378734,1.010114486695894,0.9870897644309926,0.9899629187669308
norm_std,0.0495299945930185,0.0906703103496818,0.0501182949438734,0.093219503225554,0.0494159678202105
norm_fft_peak_freq,0.0389259013555873,0.036787054123659,0.0389259013555873,0.036787054123659,0.0389259013555873
log_norm_fft_spectral_energy,6.233329738266743,6.24988088476673,6.235465601676441,6.186211012745598,6.195228322324242
fft_spectral_entropy,0.0163774752034341,0.0432687194960595,0.0167846284314622,0.0478431635112312,0.017555783073102
norm_fft_spectral_centroid,0.0002717497124278,0.0004495377452693,0.0003278700086099,0.0005694954716524,0.0004443353289703
fft_energy_low_band,0.0002477137456821,0.0007028292767725,0.0002462675837586,0.0007247457510744,0.0003310306371835
fft_energy_mid_band,1.6698615683542508e-05,2.2120026397072077e-05,2.391300959836206e-05,4.05452179963244e-05,3.508419715643659e-05
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
