,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.90974375,0.916596875,0.920859375,0.92068125,0.920190625
slip_ratio_fr,0.9002437499999999,0.907315625,0.911878125,0.912865625,0.91050625
slip_ratio_rl,0.889115625,0.89518125,0.8998406250000001,0.8998593749999999,0.8987281250000001
slip_ratio_rr,0.884390625,0.8910406249999999,0.89559375,0.8964375,0.89421875
slip_diff_front_rear,0.3648124999999993,0.3769062500000011,0.3730312500000003,0.3724999999999987,0.3775000000000048
norm_yaw_rate,6.424487000000001,7.662687000000001,7.177327000000001,7.604612,8.045474
norm_lat_accel,-8.94276,-8.945320000000002,-8.94588,-8.94644,-8.9461
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,17.6593125,17.9368125,18.276375,19.482,17.665
peak,17.90625,18.34375,18.5625,20.5,18.09375
p2p,0.46875,1.03125,0.59375,2.65625,1.0625
rms,17.659479737788853,17.93768385140972,18.27674399595699,19.492559878707567,17.666869483407353
std,0.0768546466958895,0.1768029778277221,0.1161376473198936,0.6415345859733519,0.2570065052678628
variance,0.00590663671875,0.03125929296875,0.013487953125,0.4115666249999999,0.06605234375
crest_factor,1.013973812698632,1.0226376020423822,1.0156349513954028,1.0516833154578582,1.0241627707157497
shape_factor,1.0000094702321427,1.0000485789439857,1.0000201897781693,1.0005420325791792,1.000105829799454
clearance_factor,4.261060962906687,4.331272307912388,4.342016169659929,4.644479941026252,4.304986208903017
np4,1.0000757957029447,1.0003871483157776,1.0001612154135624,1.0042114255545034,1.0008376920752535
skew,0.1080213769818217,-0.3734363802428804,-0.2861566565029621,-0.8321565621347145,-0.7065428162986473
kurt,0.0661019801026339,-0.6091119769094169,-0.599453734277001,-0.3118064399113329,-0.5053646862430092
rel_diff_fl_rl_mean,0.0238873147581599,0.0238667614051701,0.0230493474553544,0.0219815605710911,0.0221394550969834
rel_diff_fl_rl_std,0.0060447883999843,0.0054244103030186,0.0052299833220952,0.010757270816536,0.0079255979645518
rel_diff_fl_rl_p2p,0.0515732674200892,0.0402799759553061,0.0412947401409754,0.0807563455644466,0.0785830161984742
rel_diff_fr_rr_mean,0.0176309439035436,0.0177792311260116,0.0178290040558661,0.0168828265962378,0.0167573916320124
rel_diff_fr_rr_std,0.0049675978687832,0.005268162529586,0.0051718571010545,0.0060212542232849,0.0048723610608659
rel_diff_fr_rr_p2p,0.0320109935710898,0.0402799759553061,0.0344122834508128,0.0649217680027904,0.0750904377007643
rel_diff_fl_fr_std,0.0046052709350873,0.0050746714111542,0.0048034555684812,0.0087332362236771,0.006806040867772
rel_diff_rl_rr_std,0.0049530007516326,0.0049598393657234,0.0054738727007469,0.0052503400113877,0.0044474720040777
norm_rolling_var_mean,1.2469552374166906e-05,1.5129759519270463e-05,1.3518901637328746e-05,4.129791119006122e-05,2.886334547896299e-05
norm_rolling_var_max,1.7528778145441046e-05,2.873350672006364e-05,2.2406371573221548e-05,7.558228829672399e-05,7.714211687177139e-05
norm_p2p,0.0266758279759082,0.0577930089793523,0.0326916692782722,0.1345939092740777,0.0593738344610694
norm_rms,1.004973319742491,1.0052583989268418,1.0063111919149024,0.987700644078793,0.9872468556735512
norm_std,0.0043736775134053,0.0099083404462291,0.0063944986222123,0.0325069733122561,0.0143618463051219
norm_fft_peak_freq,0.0774273816859666,0.0381240729032947,0.0374560017206151,0.0344702460219562,0.03801492204997
log_norm_fft_spectral_energy,6.226500063745094,6.227027153926357,6.22914482712083,6.191365279040391,6.190883185272069
fft_spectral_entropy,0.0001948264133301,0.0008662106743975,0.0003845828542907,0.0075432287645684,0.0017173076210647
norm_fft_spectral_centroid,2.5254559959688365e-05,3.84141951870162e-05,2.733926053808176e-05,7.141152080458815e-05,2.628481606659196e-05
fft_energy_low_band,4.042012532572806e-06,8.798586982372125e-06,5.269958254638151e-06,0.0001026099113872,1.2640418999001725e-05
fft_energy_mid_band,2.9414462987495326e-06,4.220290789393452e-06,3.0913094146329386e-06,3.949623293755115e-06,2.356802197177531e-06
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
