,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,18.0,18.0,18.0,18.0,18.0
slip_ratio_fl,1.10005625,1.02824375,0.9611875,0.922525,0.93559375
slip_ratio_fr,1.100103125,1.0298625,0.96085,0.92285625,0.936865625
slip_ratio_rl,1.07198125,0.995996875,0.9343875,0.8965687499999999,0.912328125
slip_ratio_rr,1.077734375,1.00104375,0.9387625,0.9005468750000001,0.9188375
slip_diff_front_rear,0.5044374999999981,0.6106562500000017,0.4888749999999966,0.4826562500000015,0.4129375000000017
norm_yaw_rate,6.936522000000001,6.636406000000001,6.855882000000001,4.947069999999999,5.254054
norm_lat_accel,-0.4665157894736841,-0.4613115789473684,-0.4602726315789473,-0.4600968421052631,-0.4656673684210526
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,21.060625,17.7911875,14.959875,20.5401875,17.351625
peak,24.34375,20.34375,18.59375,22.21875,19.65625
p2p,5.28125,10.90625,9.40625,3.96875,10.375
rms,21.080113462544503,17.967087694848463,15.214736380397788,20.55892659869734,17.522708257786523
std,0.9062329739779942,2.5079648271494457,2.773146788284926,0.8775878049909023,2.442624520239449
variance,0.8212582031249999,6.289887574218749,7.690343109375,0.77016035546875,5.966414546875
crest_factor,1.154820634303244,1.1322786611562528,1.2220882133689568,1.0807349252080034,1.121758675133189
shape_factor,1.0009253506267977,1.0098869282811205,1.0170363308782853,1.00091231390645,1.0098597830339535
clearance_factor,5.304590360087039,4.823125269913007,4.807319702020639,4.902497947916525,4.718789349399449
np4,1.007280999391715,1.0570065988777786,1.109893328318764,1.0071532226546247,1.0571259268040358
skew,-0.3234939580391876,-1.9701110718996664,-0.8470211973399453,-0.4050483730814642,-1.946504798641005
kurt,-0.5852066067777759,2.769232734060094,-0.5553388826621535,-0.8337158895341528,2.750655373872608
rel_diff_fl_rl_mean,0.0248346972356556,0.024211345437893,0.0172772327591492,0.0248346972356556,0.024211345437893
rel_diff_fl_rl_std,0.0158163854030886,0.0201532019191618,0.0168128982562828,0.0158163854030886,0.0201532019191618
rel_diff_fl_rl_p2p,0.1785913083782345,0.1776067006887694,0.1010610739019209,0.1785913083782345,0.1776067006887694
rel_diff_fr_rr_mean,0.0205575104383618,0.0188369666750508,0.0126452668719778,0.0205575104383618,0.0188369666750508
rel_diff_fr_rr_std,0.0182826965946945,0.0183366136353793,0.0179974973450099,0.0182826965946945,0.0183366136353793
rel_diff_fr_rr_p2p,0.2626342770268155,0.1207725564683632,0.1326426594962712,0.2626342770268155,0.1207725564683632
rel_diff_fl_fr_std,0.0069488546782123,0.0075897816657131,0.0107144226771431,0.0069488546782123,0.0075897816657131
rel_diff_rl_rr_std,0.0116560514062064,0.0144437386755091,0.0152963825268852,0.0116560514062064,0.0144437386755091
norm_rolling_var_mean,0.0002197885387715,0.0011477254251872,0.0009614863981269,0.000173264621755,0.0012136537657664
norm_rolling_var_max,0.0016610331941992,0.0058810909336581,0.0024560562927841,0.0008328445791259,0.0057907585106904
norm_p2p,0.253629673243039,0.6198473854038054,0.633737150926629,0.1905974467566032,0.5896542462867145
norm_rms,1.01236303705209,1.0211440532697034,1.0250783984917502,0.9873332706187417,0.9958881282551422
norm_std,0.0435214339544816,0.1425380346859177,0.1868381283411583,0.0421457625035585,0.1388244742595894
norm_fft_peak_freq,0.0326701589538446,0.0773263072082608,0.045833249115715,0.0326701589538446,0.0773263072082608
log_norm_fft_spectral_energy,6.24021039647049,6.2486015265044985,6.249331157177094,6.190253716813467,6.198639629265339
fft_spectral_entropy,0.0119931826092293,0.1091231476820804,0.1513439230018496,0.0116388046136275,0.1096542871788894
norm_fft_spectral_centroid,0.0001658693501822,0.0020893825624167,0.0022486927387169,0.0001865321548474,0.0023366165062608
fft_energy_low_band,9.538568801035002e-05,0.0035249325141533,0.0026483909745633,5.212104611868996e-05,0.0035189760432136
fft_energy_mid_band,1.1355535870886682e-05,0.0001009230088067,9.901918671171668e-05,2.465015529515744e-05,0.000134772376163
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
