time,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr
0.00622,20.28125,20.40625,19.78125,20.03125
0.025,20.25,20.3125,19.78125,20.0
0.041,20.1875,20.34375,19.78125,19.90625
0.05,20.1875,20.28125,19.8125,20.0
0.05709,20.125,20.25,19.78125,19.84375
0.06805,20.28125,20.21875,19.90625,19.96875
0.08705,20.25,20.40625,19.9375,19.90625
0.10305,20.21875,20.34375,19.875,19.9375
0.11408,20.28125,20.3125,19.96875,19.9375
0.12405,20.3125,20.3125,19.875,19.96875
0.13815,20.375,20.34375,19.78125,20.0
0.14909,20.3125,20.3125,19.8125,19.90625
0.16207,20.375,20.28125,19.75,19.9375
0.17307,20.34375,20.25,19.71875,20.03125
0.18606,20.3125,20.40625,19.71875,20.03125
0.20306,20.21875,20.375,19.78125,20.03125
0.22206,20.25,20.375,19.84375,20.03125
0.23806,20.25,20.3125,19.875,20.0
0.25206,20.1875,20.375,19.84375,20.0625
0.26502,20.21875,20.28125,19.875,20.0
0.27607,20.21875,20.21875,19.9375,19.96875
0.29007,20.1875,20.21875,19.84375,19.96875
0.30602,20.21875,20.3125,19.90625,20.0
0.32206,20.28125,20.3125,19.90625,20.03125
0.33706,20.3125,20.34375,19.90625,19.9375
0.35306,20.34375,20.40625,19.78125,20.0
0.36908,20.3125,20.40625,19.8125,20.0
0.3801,20.34375,20.28125,19.8125,19.96875
0.38707,20.3125,20.28125,19.71875,20.0
0.40206,20.25,20.1875,19.71875,20.0625
0.42009,20.3125,20.34375,19.75,19.96875
0.44003,20.21875,20.46875,19.8125,20.03125
0.45807,20.3125,20.34375,19.90625,19.96875
0.47503,20.25,20.375,19.875,19.9375
0.49007,20.25,20.3125,19.71875,20.0625
0.50903,20.21875,20.34375,19.84375,19.9375
0.52807,20.1875,20.3125,19.875,19.96875
0.54207,20.25,20.28125,19.875,19.96875
0.55803,20.3125,20.25,19.9375,20.03125
0.57307,20.21875,20.5,19.90625,19.9375
0.59203,20.3125,20.34375,20.0,19.96875
0.61004,20.375,20.40625,19.8125,20.0625
0.62504,20.34375,20.40625,19.84375,20.0
0.64108,20.34375,20.3125,19.84375,20.03125
0.65504,20.28125,20.3125,19.6875,20.0625
0.67208,20.34375,20.34375,19.6875,20.0625
0.68309,20.34375,20.375,19.84375,20.03125
0.69508,20.34375,20.46875,19.75,20.0625
0.71104,20.34375,20.40625,19.875,20.03125
0.72608,20.3125,20.40625,19.875,20.03125
0.74412,20.28125,20.34375,19.78125,20.0625
0.75906,20.25,20.375,19.875,19.96875
0.77411,20.3125,20.28125,19.90625,20.15625
0.78504,20.25,20.34375,19.9375,20.09375
0.80104,20.28125,20.28125,19.96875,19.96875
0.81709,20.28125,20.5,19.96875,20.03125
0.83704,20.34375,20.4375,19.9375,20.0
0.84909,20.34375,20.40625,20.0,19.9375
0.86309,20.40625,20.4375,19.90625,20.09375
0.87609,20.40625,20.375,19.875,20.03125
0.88909,20.375,20.34375,19.84375,20.125
0.90805,20.40625,20.375,19.75,20.15625
0.91813,20.40625,20.28125,19.84375,20.09375
0.9321,20.34375,20.53125,19.8125,20.03125
0.94622,20.375,20.4375,19.84375,20.0625
0.96205,20.34375,20.46875,19.875,20.03125
0.98205,20.34375,20.40625,19.84375,20.0625
0.99411,20.28125,20.40625,19.9375,19.96875
